lr,n_hidden,n_layers,train_auc,valid_auc,test_auc,external_prime_auc
5e-05,10,1,0.7318874014198197,0.6347640380915232,0.6433032814160798,0.5529076390286917
5e-05,10,2,0.7332152940166242,0.6335862895550691,0.645128047507786,0.5566961348632964
5e-05,10,3,0.7362585002571936,0.6331653234282405,0.6484895146223275,0.5609904135131913
5e-05,25,1,0.7972041062883044,0.6248613959008228,0.6383911801767012,0.5517577327440377
5e-05,25,2,0.8142009197240864,0.60915722396264,0.6277643040070167,0.5489861176949793
5e-05,25,3,0.8248509316171735,0.6073422628256757,0.6332911218520773,0.5564258317411084
5e-05,40,1,0.843392638844951,0.6216699805753569,0.641843493446791,0.5563105112064727
5e-05,40,2,0.87031928161412,0.6049371671359685,0.6332290058379915,0.5540697151854052
5e-05,40,3,0.8824259256569928,0.5933121464544793,0.6305636288776636,0.5514821511231252
0.0001,10,1,0.7640136232004943,0.6225619848076516,0.6444194417483222,0.5582007635934905
0.0001,10,2,0.7710983478792894,0.6150586683368692,0.6434408072295981,0.5571871452134061
0.0001,10,3,0.7751078610228634,0.6139751103936187,0.6475891371114813,0.5627362036538648
0.0001,25,1,0.8292298803130251,0.6157619991317062,0.6358676780622381,0.5546584877306429
0.0001,25,2,0.8513277984877656,0.5953095442855937,0.6337621343154085,0.5481289114958517
0.0001,25,3,0.8561911085166476,0.5970350361802723,0.6290071980759385,0.5571367795380756
0.0001,40,1,0.879318462567407,0.6106127666232407,0.638380612520782,0.5616756286288762
0.0001,40,2,0.9246740065389222,0.5875915399929543,0.6314551108498692,0.5522818436798995
0.0001,40,3,0.935419884016309,0.5792324545349532,0.6303754865111719,0.5520614297019071
