weight,key,mean_auc_CEDAR,mean_auc01_CEDAR,pval_icore_CEDAR,pval_pep_CEDAR
Inverted-KL-Mask,hydrophobicity-isoelectric_point-dissimilarity_score-Total_Gene_TPM,0.7130551824036616,0.5839207165677187,0.45009999999999994,0.007499999999999951
KL-Mask,hydrophobicity-dissimilarity_score-ratio_rank-EL_rank_wt_aligned,0.7110638481850147,0.585145439541257,0.5439,0.005099999999999993
KL,isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned,0.7130605130291211,0.5786846081733613,0.4243,0.0012999999999999678
None,isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.7118540567635678,0.5788305351608474,0.49939999999999996,0.0020000000000000018
None,boman-hydrophobicity-isoelectric_point-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.730723736137688,0.5799129022381264,0.0031999999999999806,0.0
None,boman-hydrophobicity-isoelectric_point-ratio_rank-foreignness_score-Total_Gene_TPM,0.7256111214015425,0.578831302891092,0.025499999999999967,0.0
None,hydrophobicity-dissimilarity_score-ratio_rank,0.7183609034702344,0.5899879320817553,0.12780000000000002,0.00019999999999997797
KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-blsm_mut_score-foreignness_score-Total_Gene_TPM,0.7286874204124196,0.5857450455168872,0.016599999999999948,0.0
KL,aliphatic_index-hydrophobicity-blsm_mut_score-foreignness_score,0.7221366369959643,0.5873720594019232,0.07130000000000003,9.999999999998899e-05
KL-Mask,hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank_squared,0.7232572210219228,0.5870622190455494,0.051899999999999946,0.00019999999999997797
KL,isoelectric_point-blsm_mut_score-ratio_rank,0.7181130557857573,0.5819487561433754,0.15910000000000002,0.0
Inverted-KL,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.7323758197890363,0.584368584233572,0.010399999999999965,0.0
None,aliphatic_index-hydrophobicity-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.7253912516861903,0.5895914030007844,0.01770000000000005,0.0
KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score,0.7165849564561411,0.5926415853144971,0.2491,0.0006000000000000449
Inverted-KL,aliphatic_index-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.7243441343255644,0.5835599378647977,0.07820000000000005,0.0
Inverted-KL-Mask,boman-isoelectric_point-blsm_mut_score-ratio_rank,0.708701433905453,0.5792867023911288,0.63,0.021199999999999997
KL-Mask,hydrophobicity-blsm_mut_score-ratio_rank,0.7140647425909613,0.5846303575891459,0.37360000000000004,0.0013999999999999568
Inverted-KL-Mask,hydrophobicity,0.7040804245397463,0.5790655809142773,0.7974,0.04949999999999999
None,dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score,0.7142351013772299,0.5796385508004336,0.33320000000000005,0.0007000000000000339
KL,boman-hydrophobicity-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.7152975262020731,0.5817349662701188,0.3185,0.0011999999999999789
None,aliphatic_index-ratio_rank_squared-Total_Gene_TPM,0.7313191556510812,0.5838113266396403,0.0004999999999999449,0.0
Inverted-KL,boman-hydrophobicity-dissimilarity_score-blsm_mut_score-foreignness_score-Total_Gene_TPM,0.7364750877284905,0.5839038484224327,0.0033999999999999586,0.0
Inverted-KL-Mask,boman-isoelectric_point-ratio_rank-Total_Gene_TPM,0.712186667824807,0.577023423717805,0.48529999999999995,0.009399999999999964
Inverted-KL-Mask,hydrophobicity-isoelectric_point-dissimilarity_score-foreignness_score-Total_Gene_TPM,0.715493042853963,0.5836760032537347,0.3509,0.0038000000000000256
KL-Mask,aliphatic_index-boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared,0.7280188545403533,0.5881224683124091,0.01090000000000002,9.999999999998899e-05
Inverted-KL,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score,0.7277899553947071,0.5909777426073982,0.03490000000000004,0.0
