weight,key,mean_auc_PRIME,mean_auc01_PRIME,pval_icore_PRIME,pval_pep_PRIME
None,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6388859788163322,0.5341380021848847,100,100
None,aliphatic_index-boman-isoelectric_point-dissimilarity_score-foreignness_score,0.6337414944911982,0.5410376658657475,100,100
Inv-KL,aliphatic_index-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6172795232459372,0.5452247270357411,100,100
KL,aliphatic_index-boman-isoelectric_point-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.627553539430985,0.536605658123195,100,100
None,aliphatic_index-isoelectric_point-dissimilarity_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6417809397845667,0.534480742564791,100,100
KL,aliphatic_index-boman-hydrophobicity-Total_Gene_TPM,0.6238772074485889,0.5122096478895499,100,100
Inv-KL,boman-isoelectric_point-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6117157301186502,0.5240457715128698,100,100
KL-Mask,hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6601846540309512,0.5428486759692199,100,100
None,hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6627678606591874,0.5421663038818668,100,100
Inv-KL,aliphatic_index-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6266067499542645,0.5432205963415476,100,100
None,boman-isoelectric_point-ratio_rank-foreignness_score-Total_Gene_TPM,0.6346549049892414,0.5370232976224777,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned,0.6458629410540441,0.5332985776992054,100,100
Inv-KL,boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-Total_Gene_TPM,0.6253871031826044,0.516665877645331,100,100
None,aliphatic_index-boman-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6337029503954902,0.5346352480887887,100,100
Inv-KL,aliphatic_index-boman-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank,0.6175650909969039,0.5209344426440026,100,100
Inv-KL-Mask,aliphatic_index-ratio_rank-EL_rank_wt_aligned,0.6086148263561185,0.5386183454884085,100,100
None,hydrophobicity-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6388724701078886,0.5403625638865582,100,100
KL,boman-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6403893538306055,0.5335926854707127,100,100
Inv-KL-Mask,aliphatic_index-isoelectric_point-ratio_rank-foreignness_score,0.6086485264296011,0.5428858277252311,100,100
KL,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6416256528421531,0.5337049415767885,100,100
None,dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6714344668717019,0.5680700583929861,100,100
None,aliphatic_index-boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6379999465336725,0.5384433341152266,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-blsm_mut_score-EL_rank_wt_aligned,0.6440661265089863,0.5247765933818216,100,100
KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned,0.6578913856221529,0.5369578900521321,100,100
KL,boman-hydrophobicity-dissimilarity_score-ratio_rank_squared-foreignness_score,0.6467812862159341,0.534796419164717,100,100
KL,aliphatic_index-boman-hydrophobicity-blsm_mut_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6320806347205717,0.5214619689558531,100,100
None,boman-ratio_rank,0.6350395526364546,0.5356345714566859,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-EL_rank_wt_aligned-Total_Gene_TPM,0.641222359228839,0.5251141921956025,100,100
KL,boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6445301470797623,0.5309849310900738,100,100
Inv-KL,blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned,0.6150660123943528,0.5583558630727548,100,100
KL,aliphatic_index-hydrophobicity-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6350505926309589,0.5322623282780344,100,100
KL-Mask,hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-Total_Gene_TPM,0.6597905774851861,0.5375291313434198,100,100
None,boman-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score,0.6517993068041676,0.5408117434527039,100,100
Inv-KL-Mask,aliphatic_index-hydrophobicity-blsm_mut_score-foreignness_score,0.6375746173313738,0.5222085124281772,100,100
