weight,key,mean_auc_CEDAR,mean_auc01_CEDAR,pval_icore_CEDAR,pval_pep_CEDAR,mean_auc_PRIME,mean_auc01_PRIME,pval_icore_PRIME,pval_pep_PRIME
Inverted-KL-Mask,hydrophobicity-isoelectric_point-dissimilarity_score-Total_Gene_TPM,0.7130551824036616,0.5839207165677187,0.45009999999999994,0.007499999999999951,,,,
KL-Mask,hydrophobicity-dissimilarity_score-ratio_rank-EL_rank_wt_aligned,0.7110638481850147,0.585145439541257,0.5439,0.005099999999999993,0.6578442888787055,0.535809669588407,100.0,100.0
KL,isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned,0.7130605130291211,0.5786846081733613,0.4243,0.0012999999999999678,0.6568000624962299,0.5632225357056599,100.0,100.0
None,isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.7118540567635678,0.5788305351608474,0.49939999999999996,0.0020000000000000018,0.6584555108882512,0.5641519735095462,100.0,100.0
None,boman-hydrophobicity-isoelectric_point-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.730723736137688,0.5799129022381264,0.0031999999999999806,0.0,0.6378944583871691,0.5249671723514759,100.0,100.0
None,boman-hydrophobicity-isoelectric_point-ratio_rank-foreignness_score-Total_Gene_TPM,0.7256111214015425,0.578831302891092,0.025499999999999967,0.0,0.6356733173417028,0.5312016465526874,100.0,100.0
None,hydrophobicity-dissimilarity_score-ratio_rank,0.7183609034702344,0.5899879320817553,0.12780000000000002,0.00019999999999997797,0.6595365334907829,0.5374328519731981,100.0,100.0
KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-blsm_mut_score-foreignness_score-Total_Gene_TPM,0.7286874204124196,0.5857450455168872,0.016599999999999948,0.0,0.6364660394257626,0.5243961486616079,100.0,100.0
KL,aliphatic_index-hydrophobicity-blsm_mut_score-foreignness_score,0.7221366369959643,0.5873720594019232,0.07130000000000003,9.999999999998899e-05,0.6378596943849776,0.518297020592882,100.0,100.0
KL-Mask,hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank_squared,0.7232572210219228,0.5870622190455494,0.051899999999999946,0.00019999999999997797,0.6672431769197922,0.5392222650941042,100.0,100.0
KL,isoelectric_point-blsm_mut_score-ratio_rank,0.7181130557857573,0.5819487561433754,0.15910000000000002,0.0,0.6526649828734102,0.5584603831938202,100.0,100.0
