learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.6441375118740875,0.959816021297328,0.5415387565794288,0.8688736140425537,0.12955669390462643,0.5557211855091134,0.6999758434656574,0.5605241261620918,0.130718954248366
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.6441375118740875,0.9598158804188878,0.5415387565794288,0.8688733698976847,0.12955669390462643,0.5557211855091134,0.6999758434656574,0.5605241261620918,0.130718954248366
0.12,3.0,200,1e-09,0.00021544346900318823,0.643503605523129,0.9593214757436614,0.5417189613729466,0.8675151036227593,0.12413339625922895,0.5567016284071842,0.7003482567034383,0.5640769731721202,0.1503267973856209
0.12,3.0,200,1e-09,0.1,0.6505998044464636,0.9580162017696672,0.5465246441629027,0.8608387114973405,0.14727114718425732,0.5415449138660834,0.7060149770512923,0.5629115263398048,0.1423948220064725
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.6441375118740875,0.9598158804188878,0.5415387565794288,0.8688733698976847,0.12955669390462643,0.5557211855091134,0.6999758434656574,0.5605241261620918,0.130718954248366
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6441375118740875,0.9598158804188878,0.5415387565794288,0.8688733698976847,0.12955669390462643,0.5557211855091134,0.6999758434656574,0.5605241261620918,0.130718954248366
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.643503605523129,0.9593214757436614,0.5417189613729466,0.8675151036227593,0.12413339625922895,0.5567016284071842,0.7003482567034383,0.5640769731721202,0.1503267973856209
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6505998044464636,0.9580162017696672,0.5465246441629027,0.8608387114973405,0.14727114718425732,0.5415449138660834,0.7060149770512923,0.5629115263398048,0.1423948220064725
0.12,3.0,200,0.00021544346900318823,1e-09,0.6435041440227811,0.9593223727506472,0.5417189613729466,0.8675175975284781,0.12413339625922895,0.5567016284071842,0.7003482567034383,0.5640769731721202,0.1503267973856209
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6435045581220324,0.9593223727506472,0.5417189613729466,0.8675175975284781,0.12413339625922895,0.5567016284071842,0.7003482567034383,0.5640769731721202,0.1503267973856209
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.6441617359685641,0.9591435380286744,0.5404178330284468,0.866334416928207,0.11958419663587679,0.5547532509903443,0.6999490028719435,0.5614635469420795,0.12624584717607973
0.12,3.0,200,0.00021544346900318823,0.1,0.650515002247501,0.9584761812792288,0.5485040159663981,0.8618723211136395,0.1481561458949038,0.5436154971780737,0.7044313820221705,0.5638580104339277,0.1437908496732026
0.12,3.0,200,0.1,1e-09,0.652314656514552,0.9596105023269362,0.5413155506258875,0.866136540387764,0.12888753133498632,0.5592024394208062,0.7045756502133828,0.5626784369733416,0.13636363636363635
0.12,3.0,200,0.1,4.6415888336127725e-07,0.652314656514552,0.9596105023269362,0.5413155506258875,0.866136540387764,0.12888753133498632,0.5592024394208062,0.7045756502133828,0.5626784369733416,0.13636363636363635
0.12,3.0,200,0.1,0.00021544346900318823,0.652314656514552,0.9596084347674295,0.5413111553870212,0.8661281540310457,0.12888753133498632,0.5592024394208062,0.704579005287597,0.5626784369733416,0.13636363636363635
0.12,3.0,200,0.1,0.1,0.6514383304300131,0.9602773502960472,0.5450603919631087,0.8655047140899972,0.13445955640852308,0.5467259838762933,0.7092056526290361,0.565980536331569,0.13157894736842105
0.12,3.0,250,1e-09,1e-09,0.644806333150817,0.9752108192558974,0.5402628783644581,0.9087949580556679,0.1557198040624623,0.6435099316774943,0.7008280323160748,0.5660794227294623,0.16455696202531644
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.644806333150817,0.9752108192558973,0.5402628783644581,0.9087949580556679,0.1557198040624623,0.6435099316774943,0.7008280323160748,0.5660794227294623,0.16455696202531644
0.12,3.0,250,1e-09,0.00021544346900318823,0.6461608575785673,0.9748615354931945,0.5407758027401539,0.9076360130391408,0.14889200950052875,0.6391698273373899,0.7027907507314062,0.5675680161834653,0.16613418530351437
0.12,3.0,250,1e-09,0.1,0.6488581222523205,0.9738766222187161,0.5447086105205363,0.9043973468318676,0.1662635934078262,0.629835541862554,0.7069141369407093,0.5659770046745013,0.15723270440251574
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.644806333150817,0.9752108192558973,0.5402628783644581,0.9087949580556679,0.1557198040624623,0.6435099316774943,0.7008280323160748,0.5660794227294623,0.16455696202531644
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.644806333150817,0.9752108192558973,0.5402628783644581,0.9087949580556679,0.1557198040624623,0.6435099316774943,0.7008280323160748,0.5660794227294623,0.16455696202531644
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.6461608575785673,0.9748615354931945,0.5407758027401539,0.9076360130391408,0.14889200950052875,0.6391698273373899,0.7027907507314062,0.5675680161834653,0.16613418530351437
0.12,3.0,250,4.6415888336127725e-07,0.1,0.6488589645306497,0.9738766222187161,0.5447086105205363,0.9043973468318676,0.1662635934078262,0.629835541862554,0.7069141369407093,0.5659770046745013,0.15723270440251574
0.12,3.0,250,0.00021544346900318823,1e-09,0.6461599529570063,0.974863329181018,0.5407758027401539,0.9076419712414836,0.14889200950052875,0.6391698273373899,0.7027907507314062,0.5675680161834653,0.16613418530351437
0.12,3.0,250,0.00021544346900318823,4.6415888336127725e-07,0.646159538857755,0.9748632344200847,0.5407758027401539,0.9076414724997293,0.14889200950052875,0.6391698273373899,0.7027907507314062,0.5675680161834653,0.16613418530351437
0.12,3.0,250,0.00021544346900318823,0.00021544346900318823,0.6462454512706269,0.974922658949139,0.5406896322845692,0.9074840998422715,0.1426662039481318,0.6442083463359778,0.7030826421880452,0.5657545102792411,0.16129032258064516
0.12,3.0,250,0.00021544346900318823,0.1,0.6516205621761553,0.9741809615681294,0.5466104445706975,0.905316893135811,0.15763192159930725,0.6339409442153787,0.7050453606033766,0.5669040646547523,0.15673981191222572
0.12,3.0,250,0.1,1e-09,0.6531100174516876,0.9761793673529361,0.5434995429334948,0.9115638748704755,0.1405592889002128,0.6431427643259338,0.7064075207343588,0.5666250637464101,0.15286624203821655
0.12,3.0,250,0.1,4.6415888336127725e-07,0.6531100174516876,0.9761793199724693,0.5434995429334948,0.9115636254995984,0.1405592889002128,0.6431427643259338,0.7064075207343588,0.5666250637464101,0.15286624203821655
0.12,3.0,250,0.1,0.00021544346900318823,0.6531109079934221,0.9761780954089923,0.5434995429334948,0.911558157008142,0.1405592889002128,0.6431427643259338,0.7064075207343588,0.5666250637464101,0.15286624203821655
0.12,3.0,250,0.1,0.1,0.6496764988694347,0.975813229145536,0.5436807886512361,0.9090807993678511,0.14448190917006787,0.6365139627174476,0.7130539227527712,0.5693002939751343,0.15335463258785942
0.12,7.0,200,1e-09,1e-09,0.6400430963096481,1.0,0.5463960020434036,1.0,0.18274779309242747,1.0,0.6979460235660413,0.5786856726323418,0.18575851393188852
0.12,7.0,200,1e-09,4.6415888336127725e-07,0.6417680270503846,1.0,0.5500866755722151,1.0,0.1862584393096268,1.0,0.6992310169900957,0.5815304224003119,0.20987654320987653
0.12,7.0,200,1e-09,0.00021544346900318823,0.6427452605589472,1.0,0.547929738349703,1.0,0.19063380305083844,1.0,0.7097659500228144,0.582344469354399,0.20923076923076922
0.12,7.0,200,1e-09,0.1,0.6459186815185323,1.0,0.5467911159306553,1.0,0.17222610106630645,1.0,0.6965872185092735,0.5764324754231984,0.17791411042944785
0.12,7.0,200,4.6415888336127725e-07,1e-09,0.6417680270503846,1.0,0.5500866755722151,1.0,0.1862584393096268,1.0,0.6992310169900957,0.5815304224003119,0.20987654320987653
0.12,7.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6403614943892861,1.0,0.5512150317282232,1.0,0.1796215732151118,1.0,0.6994289663687361,0.5809123824134779,0.2160493827160494
0.12,7.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6411828342583008,1.0,0.546227449515973,1.0,0.17749037738188517,1.0,0.713466596881123,0.5836264608699461,0.2160493827160494
0.12,7.0,200,4.6415888336127725e-07,0.1,0.6459182674192809,1.0,0.5467911159306553,1.0,0.17222610106630645,1.0,0.6965872185092735,0.5764324754231984,0.17791411042944785
0.12,7.0,200,0.00021544346900318823,1e-09,0.6484159541367767,1.0,0.5511072319932675,1.0,0.18928871072182032,1.0,0.6972448130552649,0.5803561464253274,0.19571865443425077
0.12,7.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6484159541367767,1.0,0.5511072319932675,1.0,0.18928871072182032,1.0,0.6972448130552649,0.5803561464253274,0.19571865443425077
0.12,7.0,200,0.00021544346900318823,0.00021544346900318823,0.6412314991560513,1.0,0.5493222307551053,1.0,0.1866158360670235,1.0,0.7121346324180691,0.5782565762986256,0.20731707317073172
0.12,7.0,200,0.00021544346900318823,0.1,0.6390736428815404,1.0,0.5493193003948951,1.0,0.17621614026703772,1.0,0.6979594438628982,0.5763053357687641,0.19571865443425077
0.12,7.0,200,0.1,1e-09,0.64579244398522,1.0,0.5494101664642355,1.0,0.18737656439973627,1.0,0.7026699680596935,0.5760228032033542,0.20307692307692307
0.12,7.0,200,0.1,4.6415888336127725e-07,0.64579244398522,1.0,0.5494101664642355,1.0,0.18737656439973627,1.0,0.7026699680596935,0.5760228032033542,0.20307692307692307
0.12,7.0,200,0.1,0.00021544346900318823,0.6431206246580292,1.0,0.5484790574869498,1.0,0.1851707863058908,1.0,0.697774914781115,0.5729520273830562,0.21406727828746175
0.12,7.0,200,0.1,0.1,0.6375226981481475,1.0,0.5492012564740685,1.0,0.1824928260688226,1.0,0.6943326086373032,0.5708930713126322,0.2121212121212121
0.12,7.0,250,1e-09,1e-09,0.6425282395413294,1.0,0.5459526528166274,1.0,0.18222029940463946,1.0,0.6993048286228092,0.578562064634975,0.20731707317073172
0.12,7.0,250,1e-09,4.6415888336127725e-07,0.6430505050533609,1.0,0.5493914946091283,1.0,0.18406309198824153,1.0,0.7006669887537912,0.5834180931029562,0.19814241486068113
0.12,7.0,250,1e-09,0.00021544346900318823,0.6427951703276527,1.0,0.5486981712955421,1.0,0.1904298371441663,1.0,0.7076925141584132,0.5834004348176182,0.22085889570552147
0.12,7.0,250,1e-09,0.1,0.6431762724080874,1.0,0.5474535082289116,1.0,0.17463616250950476,1.0,0.6991471401347398,0.577101724437513,0.18902439024390247
0.12,7.0,250,4.6415888336127725e-07,1e-09,0.6430505050533609,1.0,0.5493914946091283,1.0,0.18406309198824153,1.0,0.7006669887537912,0.5834180931029562,0.19814241486068113
