learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.6606042495861162,0.9484408839756675,0.5544392910571871,0.8454263019705621,0.15437304795141485,0.5411835067914714,0.6645133505598622,0.5529506533178503,0.12258064516129033
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.6606042495861162,0.9484408839756675,0.5544392910571871,0.8454263019705621,0.15437304795141485,0.5411835067914714,0.6645133505598622,0.5529506533178503,0.12258064516129033
0.12,3.0,200,1e-09,0.00021544346900318823,0.6606297600149387,0.9466714526305807,0.5548159091953584,0.84249706595125,0.15499153944416286,0.5392180407234577,0.6638706685218313,0.5535364947849648,0.12258064516129033
0.12,3.0,200,1e-09,0.1,0.6601622964833092,0.9465734211598449,0.5524845722424175,0.8402553304536337,0.1612327478103456,0.5304357684967145,0.6694361624594183,0.5558903221081923,0.12944983818770225
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.6606042495861162,0.9484408839756675,0.5544392910571871,0.8454263019705621,0.15437304795141485,0.5411835067914714,0.6645133505598622,0.5529506533178503,0.12258064516129033
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6606042495861162,0.9484408839756675,0.5544392910571871,0.8454263019705621,0.15437304795141485,0.5411835067914714,0.6645133505598622,0.5529506533178503,0.12258064516129033
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6606297600149387,0.9466714526305807,0.5548159091953584,0.84249706595125,0.15499153944416286,0.5392180407234577,0.6638706685218313,0.5535364947849648,0.12258064516129033
0.12,3.0,200,4.6415888336127725e-07,0.1,0.660162296483309,0.9465734211598449,0.5524845722424175,0.8402553304536337,0.1612327478103456,0.5304357684967145,0.6694361624594183,0.5558903221081923,0.12944983818770225
0.12,3.0,200,0.00021544346900318823,1e-09,0.6616291408491546,0.946936521469601,0.553784474130405,0.842510915187196,0.15049628271568521,0.5402302767623393,0.6679553435367389,0.5536062378167641,0.14012738853503184
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6616291408491546,0.946936521469601,0.553784474130405,0.842510915187196,0.15049628271568521,0.5402302767623393,0.6679553435367389,0.5536062378167641,0.14012738853503184
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.662953243537555,0.9466293325396666,0.5567398327440973,0.8416479623986532,0.1590281924463331,0.5408539955667538,0.6663850791757769,0.5538433641248819,0.1451104100946372
0.12,3.0,200,0.00021544346900318823,0.1,0.6614116586813168,0.9469645708958444,0.5543704537507853,0.8405898390365594,0.16003041706417911,0.5316928905657373,0.671195256078977,0.5567342127929643,0.12258064516129033
0.12,3.0,200,0.1,1e-09,0.6623927491976348,0.949301144318212,0.5544490144186691,0.8458817631499833,0.16822052750044636,0.5403579375434868,0.6658715961041543,0.5513256406769259,0.12101910828025479
0.12,3.0,200,0.1,4.6415888336127725e-07,0.6623927491976348,0.949301144318212,0.5544490144186691,0.8458817631499833,0.16822052750044636,0.5403579375434868,0.6658715961041543,0.5513256406769259,0.12101910828025479
0.12,3.0,200,0.1,0.00021544346900318823,0.6623945266079345,0.9492982130005776,0.5544489959461658,0.8458737976050045,0.16822052750044636,0.5403579375434868,0.6658649705161334,0.5513256406769259,0.12101910828025479
0.12,3.0,200,0.1,0.1,0.6618017352561769,0.9469191473854645,0.5562492782198161,0.8407670512861967,0.16678525510698863,0.5377037788033029,0.6703306168422448,0.5503352896253753,0.12258064516129033
0.12,3.0,250,1e-09,1e-09,0.6594312737203165,0.9676923337600047,0.5552787801741084,0.8895896787872297,0.17824225066462024,0.618635506487412,0.6642317630689725,0.554777920750993,0.1451104100946372
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.6594316931045933,0.9676923337600047,0.5552787801741084,0.8895896787872297,0.17824225066462024,0.618635506487412,0.6642317630689725,0.554777920750993,0.1451104100946372
0.12,3.0,250,1e-09,0.00021544346900318823,0.6597878815300381,0.967531330184216,0.5545063598273905,0.8877569139521719,0.17650229739159393,0.6170515344144012,0.6610779831710064,0.5549906369979809,0.15625
0.12,3.0,250,1e-09,0.1,0.6611913058488669,0.9664935747421756,0.5555566217539156,0.8873955656696684,0.17773738208205297,0.6082771944032341,0.6674915523752734,0.5587986065342246,0.12218649517684887
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.6594316931045933,0.9676923337600047,0.5552787801741084,0.8895896787872297,0.17824225066462024,0.618635506487412,0.6642317630689725,0.554777920750993,0.1451104100946372
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.6594312737203165,0.9676923812158045,0.5552787801741084,0.8895896787872297,0.17824225066462024,0.618635506487412,0.6642317630689725,0.554777920750993,0.1451104100946372
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.6597878815300381,0.967531330184216,0.5545063598273905,0.8877569139521719,0.17650229739159393,0.6170515344144012,0.6610779831710064,0.5549906369979809,0.15625
0.12,3.0,250,4.6415888336127725e-07,0.1,0.6611913058488669,0.9664935747421756,0.5555566217539156,0.8873955656696684,0.17773738208205297,0.6082771944032341,0.6674915523752734,0.5587986065342246,0.12218649517684887
0.12,3.0,250,0.00021544346900318823,1e-09,0.6595984956541499,0.9678353783339863,0.5536362232588345,0.8892452159393044,0.17660643378605292,0.6191559882735964,0.6647419333465844,0.5560995512035903,0.15576323987538937
0.12,3.0,250,0.00021544346900318823,4.6415888336127725e-07,0.6595984956541497,0.9678353783339863,0.5536362232588345,0.8892452159393044,0.17660643378605292,0.6191559882735964,0.6647419333465844,0.5560995512035903,0.15576323987538937
0.12,3.0,250,0.00021544346900318823,0.00021544346900318823,0.6621414879543313,0.9675419570439272,0.5560208786212045,0.8886510808704534,0.17434930853647743,0.6192564377000092,0.6651460942158616,0.5558833478050125,0.1451104100946372
0.12,3.0,250,0.00021544346900318823,0.1,0.661066779066082,0.9669143576143717,0.556553388289657,0.8879821022189668,0.17242801101976662,0.6076616363862488,0.6725700655933214,0.5580139974264822,0.12903225806451613
0.12,3.0,250,0.1,1e-09,0.6610316819129767,0.9678555207939716,0.554957563827837,0.8893659227533662,0.1885431116862666,0.6224124716651597,0.6685118929304976,0.5520963011783085,0.12658227848101264
0.12,3.0,250,0.1,4.6415888336127725e-07,0.6611777307574098,0.9678212288773218,0.5548516362320672,0.8892246745840995,0.18694566759680975,0.6225497665510171,0.6684191346982044,0.5526368096747534,0.12658227848101264
0.12,3.0,250,0.1,0.00021544346900318823,0.6611768435620576,0.9678186757489395,0.5548425345989729,0.8892156798103626,0.18694566759680975,0.6225497665510171,0.6684125091101836,0.5526193739168035,0.12658227848101264
0.12,3.0,250,0.1,0.1,0.6614946537386351,0.9674414258342589,0.5552951418720404,0.8877630166263957,0.19326078488825427,0.6166243643794412,0.6730636719008811,0.5510187713370088,0.12698412698412698
0.12,7.0,200,1e-09,1e-09,0.6504991568226494,1.0,0.5556777120310024,1.0,0.21049833927053652,1.0,0.6588849135360763,0.5437445731203381,0.13793103448275862
0.12,7.0,200,1e-09,4.6415888336127725e-07,0.6465531314932853,1.0,0.554063760889507,1.0,0.20142696731298562,1.0,0.6616742860928907,0.5510083098822389,0.15479876160990713
0.12,7.0,200,1e-09,0.00021544346900318823,0.6522001496174143,1.0,0.5528582485384068,1.0,0.20629329398547822,0.9998390212491951,0.658513880606904,0.5483650489770441,0.12025316455696204
0.12,7.0,200,1e-09,0.1,0.6503558423342871,1.0,0.5601879326130299,1.0,0.22031994837410562,1.0,0.6513946862784072,0.5466912162138601,0.16
0.12,7.0,200,4.6415888336127725e-07,1e-09,0.645513897255424,1.0,0.5544275215674722,1.0,0.1946283640944585,1.0,0.6628403895845756,0.5517057402002322,0.13793103448275862
0.12,7.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6465531314932853,1.0,0.554063760889507,1.0,0.20142696731298562,1.0,0.6616742860928907,0.5510083098822389,0.15479876160990713
0.12,7.0,200,4.6415888336127725e-07,0.00021544346900318823,0.65219925907568,1.0,0.552853561476647,1.0,0.20629329398547822,0.9998390212491951,0.658513880606904,0.5483650489770441,0.12025316455696204
0.12,7.0,200,4.6415888336127725e-07,0.1,0.6503558423342871,1.0,0.5601879326130299,1.0,0.22031994837410562,1.0,0.6513946862784072,0.5466912162138601,0.16
0.12,7.0,200,0.00021544346900318823,1e-09,0.6456092215867106,1.0,0.5494423956769263,1.0,0.19994195568912845,0.9998404594767071,0.661124362287153,0.5483511003706842,0.14102564102564105
0.12,7.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6513324733245961,1.0,0.5499952640464355,1.0,0.196481492165322,0.9998404594767071,0.6563870668521831,0.5464994228764118,0.13968253968253969
0.12,7.0,200,0.00021544346900318823,0.00021544346900318823,0.6459168964684896,1.0,0.553759991056861,1.0,0.20662744301589192,0.9998390212491951,0.6559928443649374,0.5473886465318534,0.13207547169811323
0.12,7.0,200,0.00021544346900318823,0.1,0.6505833604899091,1.0,0.5582860905716492,1.0,0.21402702529095985,1.0,0.6552872192407077,0.5452196382428941,0.15337423312883436
0.12,7.0,200,0.1,1e-09,0.6466101862985065,1.0,0.5524131537439047,1.0,0.20805659234248242,1.0,0.6515172596567945,0.5476606443558708,0.15950920245398773
0.12,7.0,200,0.1,4.6415888336127725e-07,0.6497257738381779,1.0,0.5567734956628027,1.0,0.21732377226834498,0.9998390212491951,0.6572881468230306,0.5510083098822389,0.15
0.12,7.0,200,0.1,0.00021544346900318823,0.6461820963179746,1.0,0.5572578961430716,1.0,0.20466333921371802,1.0,0.6471808122970913,0.5505445187207734,0.13166144200626959
0.12,7.0,200,0.1,0.1,0.6602699807083732,1.0,0.5601879144332752,1.0,0.21242494746383495,1.0,0.6542900682435566,0.5505654416303131,0.125
0.12,7.0,250,1e-09,1e-09,0.651818178344163,1.0,0.5565243842051437,1.0,0.21700902478788214,1.0,0.6562843702378586,0.5429390411030558,0.14330218068535824
0.12,7.0,250,1e-09,4.6415888336127725e-07,0.6486891558316125,1.0,0.5566556617819649,1.0,0.21461047079496565,1.0,0.6625124229775392,0.5498401140996,0.14860681114551086
0.12,7.0,250,1e-09,0.00021544346900318823,0.6531280336448732,1.0,0.5561239124627897,1.0,0.2172570435346931,1.0,0.6552077121844564,0.5487625842583003,0.1329113924050633
0.12,7.0,250,1e-09,0.1,0.6487741818799123,1.0,0.5590026393378384,1.0,0.22355744389489215,1.0,0.6531637182799973,0.5464157312382527,0.14860681114551086
