learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.6694679307250122,0.9471560704213522,0.5605854452393542,0.8393037269500485,0.17392555547416083,0.5499224636280011,0.6906665453785872,0.5576283286396265,0.14046822742474918
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.6694679307250122,0.9471560704213522,0.5605854452393542,0.8393037269500485,0.17392555547416083,0.5499224636280011,0.6906665453785872,0.5576283286396265,0.14046822742474918
0.12,3.0,200,1e-09,0.00021544346900318823,0.6685427690104351,0.9472194896576609,0.561266613596272,0.8401307228530002,0.18266895274966818,0.551681237637621,0.694086195395096,0.5587454556867618,0.14141414141414144
0.12,3.0,200,1e-09,0.1,0.6680535611928116,0.9462870681394713,0.5621040060427535,0.8363608003574923,0.1868116039049356,0.5429681832627453,0.6882374146772052,0.5557912752732262,0.10921501706484642
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.6694679307250122,0.9471560704213522,0.5605854452393542,0.8393037269500485,0.17392555547416083,0.5499224636280011,0.6906665453785872,0.5576283286396265,0.14046822742474918
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6694683448242635,0.9471560704213522,0.5605854452393542,0.8393037269500485,0.17392555547416083,0.5499224636280011,0.6906665453785872,0.5576283286396265,0.14046822742474918
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6685427690104351,0.9472195369031186,0.561266613596272,0.8401307228530002,0.18266895274966818,0.551681237637621,0.694086195395096,0.5587454556867618,0.14141414141414144
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6680535611928116,0.9462870681394713,0.5621040060427535,0.8363608003574923,0.1868116039049356,0.5429681832627453,0.6882374146772052,0.5557912752732262,0.10921501706484642
0.12,3.0,200,0.00021544346900318823,1e-09,0.668544123812745,0.9472194412936176,0.561266613596272,0.8401302218592279,0.18266895274966818,0.551681237637621,0.694086195395096,0.5587454556867618,0.14141414141414144
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6685437044284682,0.94721939404816,0.561266613596272,0.8401302218592279,0.18266895274966818,0.551681237637621,0.694086195395096,0.5587454556867618,0.14141414141414144
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.6685463760536713,0.947217603804785,0.5612709725357594,0.8401267339214664,0.18266895274966818,0.551681237637621,0.694086195395096,0.5587454556867618,0.14141414141414144
0.12,3.0,200,0.00021544346900318823,0.1,0.6680552799330486,0.946285182430062,0.5621130520440006,0.8363583041428644,0.1868116039049356,0.5429681832627453,0.6882374146772052,0.5557912752732262,0.10921501706484642
0.12,3.0,200,0.1,1e-09,0.6725559409018415,0.9477737732744851,0.5607183547488762,0.8398048378884366,0.16944351508275146,0.5541568525532602,0.6928834219410136,0.5543833405503287,0.10774410774410775
0.12,3.0,200,0.1,4.6415888336127725e-07,0.6725559409018415,0.9477737732744851,0.5607183547488762,0.8398048378884366,0.16944351508275146,0.5541568525532602,0.6928834219410136,0.5543833405503287,0.10774410774410775
0.12,3.0,200,0.1,0.00021544346900318823,0.6741410785296027,0.9470966853288112,0.5611699408797769,0.8396060400823864,0.18013728062601536,0.5516777159808184,0.6948240312114657,0.5550181524279072,0.10738255033557047
0.12,3.0,200,0.1,0.1,0.673423512659685,0.9472736062163737,0.56371589300323,0.8404656859903903,0.20116115676835378,0.555555032028885,0.6905267271759419,0.5554720961169018,0.11333333333333331
0.12,3.0,250,1e-09,1e-09,0.668253931859341,0.9642089916491303,0.5579786508711608,0.8798206956959926,0.19518482244530722,0.6269467326118562,0.6865360124522428,0.554741530492426,0.13999999999999999
