learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.6743916739694831,0.9300608746727712,0.5707371914270404,0.8087866541286854,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.6743916739694831,0.9300608746727712,0.5707371914270404,0.8087866541286854,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,1e-09,0.00021544346900318823,0.674393365709086,0.9300581362427786,0.5707327961881741,0.8087814406659943,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,1e-09,0.1,0.6762914926374701,0.9305496167493839,0.5740279606319142,0.805245601752469,0.23410541733519843,0.5447534840316142,0.7059746239978798,0.5589834255684929,0.20238095238095236
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.6743916739694831,0.9300608746727712,0.5707371914270404,0.8087866541286854,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6743916739694831,0.9300608746727712,0.5707371914270404,0.8087866541286854,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.674393365709086,0.9300580887179477,0.5707327961881741,0.8087811905353062,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6762914926374701,0.9305496167493839,0.5740279606319142,0.805245601752469,0.23410541733519843,0.5447534840316142,0.7059746239978798,0.5589834255684929,0.20238095238095236
0.12,3.0,200,0.00021544346900318823,1e-09,0.6743937779104183,0.930058606684034,0.5707327961881741,0.8087836616501272,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6743933585261415,0.930058606684034,0.5707327961881741,0.8087836616501272,0.2320464221761374,0.5559660090941823,0.7053650698999536,0.5625507816450289,0.19104477611940301
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.6735788932574802,0.9303886320269823,0.5715165205337324,0.8089265682519959,0.23031385693218176,0.5539375072833439,0.7047604849930431,0.562742574982477,0.20178041543026706
0.12,3.0,200,0.00021544346900318823,0.1,0.6762932216209713,0.9305479209206081,0.5740282331223394,0.8052426205435415,0.23410541733519843,0.5447534840316142,0.7059746239978798,0.5589834255684929,0.20238095238095236
0.12,3.0,200,0.1,1e-09,0.6755592232770572,0.9310292395584157,0.5719854999019253,0.8066087330542033,0.22873775994752144,0.5505948252117742,0.7098323726230702,0.5596703944317163,0.19584569732937684
0.12,3.0,200,0.1,4.6415888336127725e-07,0.6755592232770572,0.9310292395584157,0.5719854999019253,0.8066087330542033,0.22873775994752144,0.5505948252117742,0.7098323726230702,0.5596703944317163,0.19584569732937684
0.12,3.0,200,0.1,0.00021544346900318823,0.6768293257126946,0.9318960599195938,0.5745615914090695,0.8088506517936683,0.2379475169044488,0.5526836631317908,0.7051547074802889,0.55823020082506,0.17964071856287422
0.12,3.0,200,0.1,0.1,0.6770994883757775,0.9319248715690751,0.5736492820465529,0.807786380055845,0.2379033735619247,0.5560976706397791,0.7095292519711125,0.5592205518766106,0.18674698795180722
0.12,3.0,250,1e-09,1e-09,0.6711765505171066,0.9472656492365297,0.569417980352564,0.8410207566492283,0.24112121966896502,0.6150117678889904,0.703861061419201,0.5642420501661628,0.19104477611940301
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.6711765505171066,0.9472656492365297,0.569417980352564,0.8410207566492283,0.24112121966896502,0.6150117678889904,0.703861061419201,0.5642420501661628,0.19104477611940301
0.12,3.0,250,1e-09,0.00021544346900318823,0.6709438194067429,0.9473731570455637,0.5698915260003117,0.8407396755268735,0.24230352109738584,0.6134473000316973,0.7051762406413569,0.5661320863279248,0.1904761904761905
0.12,3.0,250,1e-09,0.1,0.6737975646880814,0.948316891138692,0.573869265206591,0.8399698563105319,0.2474986165862425,0.6077872606863328,0.702115218975684,0.5583487639791189,0.19104477611940301
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.6711765505171066,0.9472656492365297,0.569417980352564,0.8410207566492283,0.24112121966896502,0.6150117678889904,0.703861061419201,0.5642420501661628,0.19104477611940301
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.6711765505171066,0.9472656492365297,0.569417980352564,0.8410207566492283,0.24112121966896502,0.6150117678889904,0.703861061419201,0.5642420501661628,0.19104477611940301
