learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.7344309406937166,0.95714891091253,0.5970204520355662,0.856199760887114,0.294622023924514,0.6387316955208117,0.7735821086606427,0.613442123775549,0.34929577464788736
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.7344309406937166,0.95714891091253,0.5970204520355662,0.856199760887114,0.294622023924514,0.6387316955208117,0.7735821086606427,0.613442123775549,0.34929577464788736
0.12,3.0,200,1e-09,0.00021544346900318823,0.7342973670847673,0.9569966538588576,0.5971575471888154,0.855339592528553,0.29258319712662395,0.6347812035465917,0.7727297229915031,0.6130981195737327,0.34366197183098596
0.12,3.0,200,1e-09,0.1,0.7333703880401788,0.9539229942083445,0.6013210597390327,0.8460420009151669,0.3124364028740235,0.6238327229996344,0.7698390237657254,0.6137896744124355,0.3323943661971831
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.7344309406937166,0.95714891091253,0.5970204520355662,0.856199760887114,0.294622023924514,0.6387316955208117,0.7735821086606427,0.613442123775549,0.34929577464788736
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.7344309406937166,0.95714891091253,0.5970204520355662,0.856199760887114,0.294622023924514,0.6387316955208117,0.7735821086606427,0.613442123775549,0.34929577464788736
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.7342973670847673,0.9569966538588576,0.5971575471888154,0.855339592528553,0.29258319712662395,0.6347812035465917,0.7727297229915031,0.6130981195737327,0.34366197183098596
0.12,3.0,200,4.6415888336127725e-07,0.1,0.7333703880401788,0.9539229942083445,0.6013210597390327,0.8460420009151669,0.3124364028740235,0.6238327229996344,0.7698390237657254,0.6137896744124355,0.3323943661971831
0.12,3.0,200,0.00021544346900318823,1e-09,0.7344326488639027,0.9571477870622122,0.5970248109750536,0.8561953066186607,0.294622023924514,0.6387316955208117,0.7735753704340091,0.613442123775549,0.34929577464788736
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.7344326488639027,0.9571476944088803,0.5970248109750536,0.8561953066186607,0.294622023924514,0.6387316955208117,0.7735753704340091,0.613442123775549,0.34929577464788736
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.7368005317925149,0.9567922932879764,0.6000933501733473,0.8546482100032256,0.2997079654235044,0.6340999716554346,0.7763043522205826,0.6162331681758522,0.3389830508474576
0.12,3.0,200,0.00021544346900318823,0.1,0.7333694974984445,0.9539210142755212,0.601325454977899,0.8460355357049059,0.3124364028740235,0.6238327229996344,0.7698390237657254,0.6137896744124355,0.3323943661971831
0.12,3.0,200,0.1,1e-09,0.7351965826220395,0.9573590065585721,0.6009486969225066,0.8545068589824414,0.3165883670273283,0.6241728707628029,0.769107926175989,0.6115554203181649,0.33802816901408456
0.12,3.0,200,0.1,4.6415888336127725e-07,0.7351965826220395,0.9573590065585722,0.6009486969225066,0.8545068589824414,0.3165883670273283,0.6241728707628029,0.769107926175989,0.6115554203181649,0.33802816901408456
0.12,3.0,200,0.1,0.00021544346900318823,0.7352540505735432,0.9576796856414543,0.6009449461316392,0.8547713079560453,0.31590502942634474,0.6265825751305902,0.7687440619377792,0.6121937786308136,0.3389830508474576
0.12,3.0,200,0.1,0.1,0.7364044884886544,0.9558569360723195,0.604475081292513,0.8507989204903377,0.3130043115380345,0.6340718331127462,0.772163711954288,0.6139740890360896,0.34831460674157305
0.12,3.0,250,1e-09,1e-09,0.7337941278208582,0.9700846288906582,0.5990319385200605,0.8884674490455742,0.32294450668565455,0.6987541190078396,0.7713753394381666,0.6120164568773001,0.3480662983425415
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.7337941278208582,0.9700846288906582,0.5990319385200605,0.8884674490455742,0.32294450668565455,0.6987541190078396,0.7713753394381666,0.6120164568773001,0.3480662983425415
0.12,3.0,250,1e-09,0.00021544346900318823,0.7346767654217681,0.9703592778502158,0.5988520811812832,0.8890428887496289,0.32294450668565455,0.6992929525095584,0.7705566449021947,0.6118994245199811,0.3516483516483517
0.12,3.0,250,1e-09,0.1,0.7316340420468666,0.9681881193739599,0.5979305263351299,0.8818341993539877,0.32289051524004503,0.6898821298519856,0.7710754883529752,0.6115908846688676,0.3389830508474576
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.7337941278208582,0.9700846288906582,0.5990319385200605,0.8884674490455742,0.32294450668565455,0.6987541190078396,0.7713753394381666,0.6120164568773001,0.3480662983425415
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.7337941278208582,0.9700846288906582,0.5990319385200605,0.8884674490455742,0.32294450668565455,0.6987541190078396,0.7713753394381666,0.6120164568773001,0.3480662983425415
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.7346767654217681,0.9703592778502158,0.5988520811812832,0.8890428887496289,0.32294450668565455,0.6992929525095584,0.7705566449021947,0.6118994245199811,0.3516483516483517
0.12,3.0,250,4.6415888336127725e-07,0.1,0.7316340420468666,0.9681881666911509,0.5979305263351299,0.8818341993539877,0.32289051524004503,0.6898821298519856,0.7710754883529752,0.6115908846688676,0.3389830508474576
0.12,3.0,250,0.00021544346900318823,1e-09,0.7337965712132362,0.970082840628333,0.5990319385200605,0.8884615020090763,0.32294450668565455,0.6987541190078396,0.7713753394381666,0.6120164568773001,0.3480662983425415
