learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.6560286695344076,0.9557655775545632,0.5210261238123153,0.8654447075417262,0.06083155554240334,0.5352313761179723,0.7028729377213441,0.5484422380127567,0.0661764705882353
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.6560286695344076,0.9557656255207213,0.5210261238123153,0.8654447075417262,0.06083155554240334,0.5352313761179723,0.7028729377213441,0.5484422380127567,0.0661764705882353
0.12,3.0,200,1e-09,0.00021544346900318823,0.6606904501124417,0.9557971617468415,0.5221681310019466,0.8658119446169323,0.06870237641828006,0.5312738590205756,0.7073611471020126,0.5506244231984471,0.06691449814126395
0.12,3.0,200,1e-09,0.1,0.6533361344285404,0.9553528548973331,0.5204849444032054,0.8642146553493818,0.08401437543900475,0.5244359661083386,0.7047387060551094,0.5509517509763006,0.0875912408759124
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.6560286695344076,0.9557655775545632,0.5210261238123153,0.8654447075417262,0.06083155554240334,0.5352313761179723,0.7028729377213441,0.5484422380127567,0.0661764705882353
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6560286695344076,0.9557656255207213,0.5210261238123153,0.8654447075417262,0.06083155554240334,0.5352313761179723,0.7028729377213441,0.5484422380127567,0.0661764705882353
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6606904501124417,0.9557971617468415,0.5221681310019466,0.8658119446169323,0.06870237641828006,0.5312738590205756,0.7073611471020126,0.5506244231984471,0.06691449814126395
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6533361344285404,0.9553528548973331,0.5204849444032054,0.8642146553493818,0.08401437543900475,0.5244359661083386,0.7047387060551094,0.5509517509763006,0.0875912408759124
0.12,3.0,200,0.00021544346900318823,1e-09,0.6606931049229237,0.9557976534122525,0.522172942636093,0.8658145283582668,0.06870237641828006,0.5312738590205756,0.7073611471020126,0.5506244231984471,0.06691449814126395
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6606926478176798,0.9557976534122525,0.522172942636093,0.8658145283582668,0.06870237641828006,0.5312738590205756,0.7073611471020126,0.5506244231984471,0.06691449814126395
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.6562111230569989,0.9561639881373942,0.5210415920842719,0.8671281002880611,0.06379389818587018,0.5318348604624342,0.7029040338602401,0.5474784395557435,0.08118081180811808
0.12,3.0,200,0.00021544346900318823,0.1,0.6527160484661589,0.955114647015034,0.5205908003544268,0.8638434200829721,0.07736197768346591,0.5215570489852355,0.704669603524229,0.5490059691857266,0.07407407407407407
0.12,3.0,200,0.1,1e-09,0.6571392190460073,0.9574467713680042,0.5216047605603835,0.8698190446218579,0.07742134429714932,0.5329299899662726,0.7055955774380237,0.5545614489709633,0.06691449814126395
0.12,3.0,200,0.1,4.6415888336127725e-07,0.6571392190460073,0.9574467713680042,0.5216047605603835,0.8698190446218579,0.07742134429714932,0.5329299899662726,0.7055955774380237,0.5545614489709633,0.06691449814126395
0.12,3.0,200,0.1,0.00021544346900318823,0.6580266514362753,0.9577313390891886,0.5214714547047264,0.8701503402846293,0.07744795045873995,0.5306787094467633,0.7046454176384209,0.5569436677986752,0.06642066420664207
0.12,3.0,200,0.1,0.1,0.6501687662653988,0.9560500205350324,0.5228217898020004,0.8651767980104015,0.10118761862236353,0.5265501986620804,0.7092821974604819,0.5520792133222405,0.07299270072992702
0.12,3.0,250,1e-09,1e-09,0.6535603761224953,0.9734576162154016,0.5213378315757577,0.908575533555164,0.08835214000762971,0.631257559704578,0.6966018830439665,0.5451325904811264,0.0875912408759124
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.6535603761224953,0.9734576162154016,0.5213378315757577,0.908575533555164,0.08835214000762971,0.631257559704578,0.6966018830439665,0.5451325904811264,0.0875912408759124
0.12,3.0,250,1e-09,0.00021544346900318823,0.6568464471198212,0.9738383677490706,0.520879451359966,0.9083798818916475,0.07882576633518397,0.6329274460945388,0.7041133281506434,0.5466510276728359,0.08695652173913043
0.12,3.0,250,1e-09,0.1,0.6547430060141495,0.9726091673580226,0.5207053152813904,0.9063180868918981,0.09586490151648769,0.6208557818636448,0.6995318303532867,0.5493514818401277,0.0935251798561151
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.6535603761224953,0.9734576162154016,0.5213378315757577,0.908575533555164,0.08835214000762971,0.631257559704578,0.6966018830439665,0.5451325904811264,0.0875912408759124
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.6535603761224953,0.9734576162154016,0.5213378315757577,0.908575533555164,0.08835214000762971,0.631257559704578,0.6966018830439665,0.5451325904811264,0.0875912408759124
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.6568455329093335,0.9738383677490706,0.520879451359966,0.9083798818916475,0.07882576633518397,0.6329274460945388,0.7041133281506434,0.5466510276728359,0.08695652173913043
0.12,3.0,250,4.6415888336127725e-07,0.1,0.6547430060141495,0.9726091673580226,0.5207053152813904,0.9063180868918981,0.09586490151648769,0.6208557818636448,0.6995318303532867,0.5493514818401277,0.0935251798561151
0.12,3.0,250,0.00021544346900318823,1e-09,0.656844706519827,0.973839336292289,0.520879451359966,0.9083829346381282,0.07882576633518397,0.6329274460945388,0.7041133281506434,0.5466510276728359,0.08695652173913043
0.12,3.0,250,0.00021544346900318823,4.6415888336127725e-07,0.656844706519827,0.973839336292289,0.520879451359966,0.9083829346381282,0.07882576633518397,0.6329274460945388,0.7041133281506434,0.5466510276728359,0.08695652173913043
0.12,3.0,250,0.00021544346900318823,0.00021544346900318823,0.6548635159797174,0.9739463075044231,0.5218931327254601,0.909096737758534,0.0709203384220065,0.6257895490699651,0.6997045866804873,0.5464237167159931,0.07971014492753624
0.12,3.0,250,0.00021544346900318823,0.1,0.6519283702410209,0.9724021922127716,0.5220403335263446,0.9065461812299594,0.09911787483696341,0.6196321175827029,0.7001606633842965,0.5478694144015129,0.08727272727272728
0.12,3.0,250,0.1,1e-09,0.6535595647545938,0.9747073759764511,0.5242263282823242,0.9124431417210332,0.09226965131805451,0.6369458160956759,0.70072384901097,0.5513609106986175,0.10144927536231883
0.12,3.0,250,0.1,4.6415888336127725e-07,0.6535595647545938,0.9747073759764511,0.5242263282823242,0.9124431417210332,0.09226965131805451,0.6369458160956759,0.70072384901097,0.5513609106986175,0.10144927536231883
0.12,3.0,250,0.1,0.00021544346900318823,0.6537170189836505,0.9742871719879223,0.5231284119665405,0.9130390057388431,0.09180507832700086,0.6377521081257923,0.7003852466096571,0.5532157681064542,0.12142857142857143
0.12,3.0,250,0.1,0.1,0.6503440021544521,0.9731119723912994,0.5271134831888491,0.9078193481121595,0.10344840748021156,0.6318583384907921,0.7040269499870433,0.5492241877042957,0.0935251798561151
0.12,7.0,200,1e-09,1e-09,0.6507321121581786,1.0,0.5258675172014158,1.0,0.1239173746402098,1.0,0.6806806599291698,0.5519519191864086,0.10416666666666667
0.12,7.0,200,1e-09,4.6415888336127725e-07,0.648230583210095,1.0,0.523731460492642,1.0,0.12411939669734531,1.0,0.6818104863090609,0.5544341548351314,0.1254355400696864
0.12,7.0,200,1e-09,0.00021544346900318823,0.6517765455649325,1.0,0.5238860203220354,1.0,0.1327861855298612,1.0,0.6895914312861708,0.5538886085387088,0.11888111888111887
0.12,7.0,200,1e-09,0.1,0.6549916198936767,1.0,0.5256860849824218,1.0,0.11983750105373919,0.9998307379823967,0.6908732832339984,0.5610170801452972,0.1267605633802817
0.12,7.0,200,4.6415888336127725e-07,1e-09,0.646207582791543,1.0,0.5209918168526189,1.0,0.1281044884404646,1.0,0.6851066770320462,0.5540249951128144,0.1254355400696864
0.12,7.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.6482301261048509,1.0,0.523731460492642,1.0,0.12411939669734531,1.0,0.6818104863090609,0.5544341548351314,0.1254355400696864
0.12,7.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6504901631148764,1.0,0.522198875387369,1.0,0.13366891854407595,1.0,0.6897054504621231,0.5528247932606848,0.1118881118881119
0.12,7.0,200,4.6415888336127725e-07,0.1,0.6549907056831887,1.0,0.5256860849824218,1.0,0.11983750105373919,0.9998307379823967,0.6908732832339984,0.5610170801452972,0.1267605633802817
0.12,7.0,200,0.00021544346900318823,1e-09,0.6556042854529044,1.0,0.5272556995738004,1.0,0.13160552234621906,1.0,0.6911324177247992,0.5534976336929393,0.125
