learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.8022864388667204,0.976934559367235,0.6342556311503881,0.9147973981809094,0.40396695006377503,0.7728372298158046,0.7937949548685157,0.6252771591783032,0.35658914728682173
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.8022864388667204,0.976934559367235,0.6342556311503881,0.9147973981809094,0.40396695006377503,0.7728372298158046,0.7937949548685157,0.6252771591783032,0.35658914728682173
0.12,3.0,200,1e-09,0.00021544346900318823,0.804955925994933,0.9770379887698659,0.6367410160830737,0.9153896120847717,0.4055456819828564,0.774293971405463,0.79383602829795,0.6249399247050539,0.35751295336787564
0.12,3.0,200,1e-09,0.1,0.8037734424963064,0.9766558742446667,0.6403414048411936,0.9136979602853676,0.40522501324474264,0.7718172161076442,0.7953031711973397,0.6311000744164071,0.365038560411311
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.8022864388667204,0.976934559367235,0.6342556311503881,0.9147973981809094,0.40396695006377503,0.7728372298158046,0.7937949548685157,0.6252771591783032,0.35658914728682173
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.8022864388667204,0.976934559367235,0.6342556311503881,0.9147973981809094,0.40396695006377503,0.7728372298158046,0.7937949548685157,0.6252771591783032,0.35658914728682173
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.804955925994933,0.9770379887698659,0.6367410160830737,0.9153896120847717,0.4055456819828564,0.774293971405463,0.79383602829795,0.6249399247050539,0.35751295336787564
0.12,3.0,200,4.6415888336127725e-07,0.1,0.8037734424963064,0.9766558742446667,0.6403414048411936,0.9136979602853676,0.40522501324474264,0.7718172161076442,0.7953031711973397,0.6311000744164071,0.365038560411311
0.12,3.0,200,0.00021544346900318823,1e-09,0.8049543466306033,0.9770387003759786,0.6367411522681901,0.9153916002580782,0.4055456819828564,0.774293971405463,0.7938327424235951,0.6249399247050539,0.35751295336787564
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.8049543466306033,0.977038652522641,0.6367411522681901,0.9153916002580782,0.4055456819828564,0.774293971405463,0.7938327424235951,0.6249399247050539,0.35751295336787564
