learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.8055138064849374,0.9759790869259346,0.6360958715481804,0.9113191799235856,0.41596614411120186,0.7757560031237236,0.779081090651558,0.6131606903235426,0.32954545454545453
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.8055138064849374,0.9759790869259346,0.6360958715481804,0.9113191799235856,0.41596614411120186,0.7757560031237236,0.779081090651558,0.6131606903235426,0.32954545454545453
0.12,3.0,200,1e-09,0.00021544346900318823,0.8052370508390174,0.975712161583487,0.6349579784251054,0.9107882672850021,0.4139250565437985,0.775528611329892,0.7780445880547686,0.612696700586452,0.33333333333333337
0.12,3.0,200,1e-09,0.1,0.8024035062290531,0.9748630541677109,0.6360095277183508,0.9075864673673999,0.4318668065520437,0.7720772505345235,0.7823492091595845,0.6135334352169376,0.34444444444444444
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.8055138064849374,0.9759790869259346,0.6360958715481804,0.9113191799235856,0.41596614411120186,0.7757560031237236,0.779081090651558,0.6131606903235426,0.32954545454545453
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.8055138064849374,0.9759790869259346,0.6360958715481804,0.9113191799235856,0.41596614411120186,0.7757560031237236,0.779081090651558,0.6131606903235426,0.32954545454545453
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.8052370508390174,0.975712161583487,0.6349579784251054,0.9107882672850021,0.4139250565437985,0.775528611329892,0.7780445880547686,0.612696700586452,0.33333333333333337
0.12,3.0,200,4.6415888336127725e-07,0.1,0.8024035062290531,0.9748630541677109,0.6360095277183508,0.9075864673673999,0.4318668065520437,0.7720772505345235,0.7823492091595845,0.6135334352169376,0.34444444444444444
0.12,3.0,200,0.00021544346900318823,1e-09,0.8052387148551978,0.9757129904511088,0.6349536549062176,0.910791652959299,0.4139250565437985,0.775528611329892,0.7780372108120868,0.612696700586452,0.33333333333333337
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.8052387148551978,0.9757129904511088,0.6349536549062176,0.910791652959299,0.4139250565437985,0.775528611329892,0.7780372108120868,0.612696700586452,0.33333333333333337
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.8038729834498891,0.9748627565479666,0.6344075984149498,0.9082133034921305,0.41683910019676135,0.7770590960391709,0.7766170915958451,0.6149797630584961,0.3409090909090909
0.12,3.0,200,0.00021544346900318823,0.1,0.8042063111814644,0.9748547633016705,0.6366343873102638,0.9074403693370197,0.4321119397610167,0.7691744961480895,0.7822496163833805,0.6125608040107351,0.35
0.12,3.0,200,0.1,1e-09,0.804243480002697,0.9755441022561735,0.634962136585844,0.9091183577895222,0.41817908366866574,0.7751014553306353,0.7819951015108594,0.6130053799512947,0.350974930362117
0.12,3.0,200,0.1,4.6415888336127725e-07,0.8042438813125724,0.9755441022561735,0.634962136585844,0.9091183577895222,0.41817908366866574,0.7751014553306353,0.7819951015108594,0.6130053799512947,0.350974930362117
0.12,3.0,200,0.1,0.00021544346900318823,0.8040024117124976,0.9748518112410489,0.6341553176251772,0.9085567358829718,0.42402318275491646,0.7757580691190958,0.7814122993389991,0.613739221460166,0.34269662921348315
0.12,3.0,200,0.1,0.1,0.7999641036286579,0.9747890673337594,0.6320781298264446,0.9069178168242894,0.4121231526478807,0.7714767525453281,0.7802540722379604,0.6082392929029372,0.3268698060941828
0.12,3.0,250,1e-09,1e-09,0.8023367036801284,0.9843603881776408,0.631648177369422,0.9382516051835815,0.4185861358092051,0.8299562184149024,0.7774064565627951,0.6143565801898514,0.3526170798898072
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.8023367036801284,0.9843603881776408,0.631648177369422,0.9382516051835815,0.4185861358092051,0.8299562184149024,0.7774064565627951,0.6143565801898514,0.3526170798898072
0.12,3.0,250,1e-09,0.00021544346900318823,0.8028397416424502,0.9840708940495132,0.6320035580863859,0.9377959275300103,0.41986065886118107,0.8284938445067117,0.7772552230878187,0.6130403247850504,0.3516483516483516
0.12,3.0,250,1e-09,0.1,0.8012333517960009,0.9834597398241083,0.6334921502586336,0.9348706264709563,0.43312287179780834,0.8240703956464468,0.7818401794145421,0.6119046176879877,0.36314363143631434
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.8023367036801284,0.9843603881776408,0.631648177369422,0.9382516051835815,0.4185861358092051,0.8299562184149024,0.7774064565627951,0.6143565801898514,0.3526170798898072
0.12,3.0,250,4.6415888336127725e-07,4.6415888336127725e-07,0.8023367036801284,0.9843603881776408,0.631648177369422,0.9382516051835815,0.4185861358092051,0.8299562184149024,0.7774064565627951,0.6143565801898514,0.3526170798898072
0.12,3.0,250,4.6415888336127725e-07,0.00021544346900318823,0.8028397416424502,0.9840708940495132,0.6320035580863859,0.9377959275300103,0.41986065886118107,0.8284938445067117,0.7772552230878187,0.6130403247850504,0.3516483516483516
