learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.7025831458920845,0.9276860917748229,0.5642575988782201,0.8076330421162589,0.2197293733293687,0.5360467720346411,0.7129182896600567,0.5637331643556484,0.24633431085043989
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.702582744582209,0.9276861379908744,0.5642575988782201,0.8076330421162589,0.2197293733293687,0.5360467720346411,0.7129182896600567,0.5637331643556484,0.24633431085043989
0.12,3.0,200,1e-09,0.00021544346900318823,0.7027416760701304,0.9275705717912782,0.5655221087634893,0.8071471306506435,0.22505016798821909,0.5341074362386068,0.7152531869688386,0.5644689472441727,0.24260355029585798
0.12,3.0,200,1e-09,0.1,0.6996918288824492,0.9272229388937258,0.5632054267782662,0.8080665198203805,0.22137617523605518,0.5374605478927856,0.7191594369688386,0.5662763717012077,0.23668639053254437
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.7025835472019599,0.9276860917748229,0.5642575988782201,0.8076330421162589,0.2197293733293687,0.5360467720346411,0.7129182896600567,0.5637331643556484,0.24633431085043989
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.702582744582209,0.9276860917748229,0.5642575988782201,0.8076330421162589,0.2197293733293687,0.5360467720346411,0.7129182896600567,0.5637331643556484,0.24633431085043989
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.7027416760701304,0.9275705717912782,0.5655221087634893,0.8071471306506435,0.22505016798821909,0.5341074362386068,0.7152531869688386,0.5644689472441727,0.24260355029585798
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6996918288824492,0.9272228928238885,0.5632054267782662,0.8080662773475519,0.22137617523605518,0.5374605478927856,0.7191594369688386,0.5662763717012077,0.23668639053254437
0.12,3.0,200,0.00021544346900318823,1e-09,0.7027395543466918,0.9275723134222594,0.5655198276146297,0.8071505107131531,0.22505016798821909,0.5341074362386068,0.7152531869688386,0.5644689472441727,0.24260355029585798
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.7027395543466918,0.9275722209901563,0.5655198276146297,0.8071500242284001,0.22505016798821909,0.5341074362386068,0.7152531869688386,0.5644689472441727,0.24260355029585798
