learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.8179014998685309,0.9740549718493392,0.6509794489811171,0.9040150882427065,0.4378151294728805,0.7757877454239686,0.8310288401192116,0.6547739344385055,0.4264705882352941
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.8179014998685309,0.9740549718493392,0.6509794489811171,0.9040150882427065,0.4378151294728805,0.7757877454239686,0.8310288401192116,0.6547739344385055,0.4264705882352941
0.12,3.0,200,1e-09,0.00021544346900318823,0.8179048093375694,0.9740531807020933,0.6509750884815226,0.9040101084530747,0.4378151294728805,0.7757877454239686,0.8310321259935662,0.6547739344385055,0.4264705882352941
0.12,3.0,200,1e-09,0.1,0.8174858978177328,0.9741828087098923,0.6497933435870514,0.9036376518073947,0.44011875130407496,0.766995566420158,0.8299034281527142,0.6549088282278052,0.4257425742574257
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.8179014998685309,0.9740549718493392,0.6509794489811171,0.9040150882427065,0.4378151294728805,0.7757877454239686,0.8310288401192116,0.6547739344385055,0.4264705882352941
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.8179014998685309,0.9740549718493392,0.6509794489811171,0.9040150882427065,0.4378151294728805,0.7757877454239686,0.8310288401192116,0.6547739344385055,0.4264705882352941
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.8179048093375694,0.9740531807020933,0.6509750884815226,0.9040101084530747,0.4378151294728805,0.7757877454239686,0.8310321259935662,0.6547739344385055,0.4264705882352941
0.12,3.0,200,4.6415888336127725e-07,0.1,0.8174858978177328,0.9741828087098923,0.6497933435870514,0.9036376518073947,0.44011875130407496,0.766995566420158,0.8299034281527142,0.6549088282278052,0.4257425742574257
0.12,3.0,200,0.00021544346900318823,1e-09,0.8180746124551372,0.9738609008808328,0.6518371592513845,0.9032445442308548,0.4367083014892158,0.7723876176127791,0.8310124107474379,0.6525101399488475,0.4233576642335766
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.8180746124551372,0.9738609487341703,0.6518371592513845,0.9032445442308548,0.4367083014892158,0.7723876176127791,0.8310124107474379,0.6525101399488475,0.4233576642335766
