learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.673450147651268,0.9581921172783975,0.5424701314135562,0.8663978134408434,0.16352693455497194,0.588430262917468,0.7025606352178361,0.5946398476557546,0.18729096989966557
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.673450147651268,0.9581921642698187,0.5424701314135562,0.8663978134408434,0.16352693455497194,0.588430262917468,0.7025606352178361,0.5946398476557546,0.18729096989966557
0.12,3.0,200,1e-09,0.00021544346900318823,0.6718198886055561,0.9581724275812011,0.5419449935058884,0.8666981412688222,0.16328581498860137,0.5879257582049688,0.7058580815173107,0.5954409871352329,0.18
0.12,3.0,200,1e-09,0.1,0.6693665679816247,0.9581312896741688,0.5393039369672722,0.8654936179412036,0.167581560519851,0.5835816672342994,0.7069433608987361,0.5905337797085422,0.19463087248322147
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.673450147651268,0.9581921172783975,0.5424701314135562,0.8663978134408434,0.16352693455497194,0.588430262917468,0.7025606352178361,0.5946398476557546,0.18729096989966557
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.673450147651268,0.9581921172783975,0.5424701314135562,0.8663978134408434,0.16352693455497194,0.588430262917468,0.7025606352178361,0.5946398476557546,0.18729096989966557
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.6718198886055561,0.9581723804469628,0.5419449935058884,0.8666978931938836,0.16328581498860137,0.5879257582049688,0.7058580815173107,0.5954409871352329,0.18
0.12,3.0,200,4.6415888336127725e-07,0.1,0.6693665679816247,0.9581312896741688,0.5393039369672722,0.8654936179412036,0.167581560519851,0.5835816672342994,0.7069433608987361,0.5905337797085422,0.19463087248322147
0.12,3.0,200,0.00021544346900318823,1e-09,0.67063689373349,0.9579768812620564,0.5406306715847758,0.8661555169734081,0.15642104447035846,0.5863934953101311,0.7063643140722249,0.5961216819549263,0.18181818181818185
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.6706364829991956,0.9579768812620564,0.5406306715847758,0.8661555169734081,0.15642104447035846,0.5863934953101311,0.7063643140722249,0.5961216819549263,0.18181818181818185
0.12,3.0,200,0.00021544346900318823,0.00021544346900318823,0.6711264706601254,0.9576727713272241,0.5403215121635153,0.8658009096556327,0.15617992490398788,0.5838493080579493,0.7061840120663649,0.596853474509074,0.18060200668896323
0.12,3.0,200,0.00021544346900318823,0.1,0.6702319473883469,0.9579982921167384,0.5404284031935758,0.8648264474835077,0.16692948422299203,0.5833996593910626,0.7040723981900452,0.5920612369849052,0.18855218855218855
0.12,3.0,200,0.1,1e-09,0.6739718448110044,0.9583190869925439,0.5446296319545263,0.8680597723879848,0.1748012831869668,0.5839071525193636,0.7076021566893778,0.5966089353513289,0.19463087248322147
0.12,3.0,200,0.1,4.6415888336127725e-07,0.6739718448110044,0.9583190869925439,0.5446296319545263,0.8680597723879848,0.1748012831869668,0.5839071525193636,0.7076021566893778,0.5966089353513289,0.19463087248322147
0.12,3.0,200,0.1,0.00021544346900318823,0.6739762235428461,0.9583166614108435,0.5446253084356385,0.8680518826605016,0.1748012831869668,0.5839071525193636,0.7075986893431112,0.5966271845422053,0.19463087248322147
0.12,3.0,200,0.1,0.1,0.6731254706889571,0.9583222940412526,0.5438270513560346,0.8652321098246178,0.16162939875282015,0.5849595196394414,0.7057263223591823,0.5980323722396959,0.18060200668896323
0.12,3.0,250,1e-09,1e-09,0.6709673653056577,0.9737303553379772,0.5444883410415591,0.9071112833149129,0.16724334078889566,0.6692946332016019,0.7040723981900453,0.5979593754761898,0.19736842105263155
0.12,3.0,250,1e-09,4.6415888336127725e-07,0.6709673653056577,0.9737303553379771,0.5444883410415591,0.9071112833149129,0.16724334078889566,0.6692946332016019,0.7040723981900453,0.5979593754761898,0.19736842105263155
0.12,3.0,250,1e-09,0.00021544346900318823,0.6697392143882772,0.973719951646283,0.5428412119828658,0.9061385705829017,0.17629003500169083,0.6701357330096964,0.7075362771103136,0.5970888890713808,0.20327868852459016
0.12,3.0,250,1e-09,0.1,0.6682273190937995,0.9743528685418076,0.5405005884248092,0.9073799285650693,0.17914788180966365,0.6669402336911608,0.7039614431095162,0.5938697318007663,0.1926910299003322
0.12,3.0,250,4.6415888336127725e-07,1e-09,0.6709673653056577,0.9737303553379772,0.5444883410415591,0.9071112833149129,0.16724334078889566,0.6692946332016019,0.7040723981900453,0.5979593754761898,0.19736842105263155
