learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
0.12,3.0,200,1e-09,1e-09,0.7880403560211778,0.9774800845005469,0.6221520801236213,0.914171697591485,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,1e-09,4.6415888336127725e-07,0.7880403560211778,0.9774800845005469,0.6221520801236213,0.914171697591485,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,1e-09,0.00021544346900318823,0.7880361403211855,0.9774786642464397,0.6221478558091431,0.9141662234589062,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,1e-09,0.1,0.7917750245050269,0.9762599247910881,0.6308546547658335,0.910842473139216,0.3950801067856293,0.768005716143855,0.8318072456851985,0.6532879562303516,0.41361256544502617
0.12,3.0,200,4.6415888336127725e-07,1e-09,0.7880403560211778,0.9774800845005469,0.6221520801236213,0.914171697591485,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,4.6415888336127725e-07,4.6415888336127725e-07,0.7880403560211778,0.9774800845005469,0.6221520801236213,0.914171697591485,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,4.6415888336127725e-07,0.00021544346900318823,0.7880361403211855,0.9774786642464397,0.6221478558091431,0.9141662234589062,0.3790989402903572,0.779129462187666,0.8271063654921923,0.6512629402185971,0.40318302387267907
0.12,3.0,200,4.6415888336127725e-07,0.1,0.7917750245050269,0.9762599247910879,0.6308546547658335,0.910842473139216,0.3950801067856293,0.768005716143855,0.8318072456851985,0.6532879562303516,0.41361256544502617
0.12,3.0,200,0.00021544346900318823,1e-09,0.7883449848575338,0.9773352504276739,0.6224846716273456,0.9145401972894417,0.37617381251027704,0.7747180223867404,0.8257840875951112,0.6529443488622934,0.3925729442970822
0.12,3.0,200,0.00021544346900318823,4.6415888336127725e-07,0.7883441822377829,0.9773352504276739,0.6224846716273456,0.9145401972894417,0.37617381251027704,0.7747180223867404,0.8257840875951112,0.6529443488622934,0.3925729442970822
