ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6807746825399321,0.761833208761824,0.5623188048703138,0.624266543564935,0.0,0.0,0.7310676977343643,0.6200258480960236,0.0
1e-09,3.0,200,0.6802999597853385,0.7618690961392818,0.5645998938423148,0.6239842033611553,0.0035714285714285713,0.0010954492661809736,0.7290869624202958,0.6187120222207941,0.0
1e-09,3.0,300,0.6763001304791023,0.7624833267895287,0.5589879985118067,0.6250847562346866,0.0,0.0005411255411255411,0.7309048975715642,0.6186477589986362,0.0
1e-09,5.0,100,0.6872927141104391,0.8448287313223812,0.5571334591801036,0.7159118488395662,0.015505726859917579,0.09803944472338591,0.7302808302808304,0.6192689701461631,0.0
1e-09,5.0,200,0.6818647575464832,0.8432701882497599,0.5589473896424682,0.7156489020140706,0.0076036866359447,0.09605949387692306,0.7328856328856329,0.6191261629858121,0.015267175572519085
1e-09,5.0,300,0.6845980239649554,0.8444255581226168,0.5615453226776033,0.7179612780586045,0.011768149882903981,0.0935694945251155,0.7329805996472664,0.6186763204307064,0.015267175572519085
1e-09,7.0,100,0.6870201026601137,0.9287141526345437,0.5609957335613298,0.8314104833184126,0.05187246241911132,0.3158851379792966,0.7349070682404015,0.6197188127012688,0.07299270072992702
1e-09,7.0,200,0.6891341567767213,0.9310927333605349,0.5661462800883441,0.8352618198662991,0.04478957075788061,0.30371831707305474,0.7341202007868675,0.6176695299502317,0.07299270072992702
1e-09,7.0,300,0.6910018214093067,0.9330015798765542,0.566347115247336,0.8354586773474253,0.04098522587135718,0.30736620058941844,0.7332247998914666,0.6169554941484766,0.07299270072992702
1e-09,9.0,100,0.6900068384487164,0.9815227563991034,0.569519527746742,0.9345236859768864,0.061443488986889505,0.5709107435145138,0.7352055352055352,0.6183621446779342,0.08695652173913043
1e-09,9.0,200,0.6911519769735744,0.9819754652939722,0.5662944367499942,0.9355747171940941,0.065898172776823,0.5601034521474835,0.7319223985890652,0.6120929103385244,0.08571428571428573
1e-09,9.0,300,0.6905256909324944,0.9833849590717463,0.5711741094988956,0.9378523190653957,0.06531593585503002,0.5617976541742262,0.7320037986704654,0.6180194074930917,0.08571428571428573
1e-09,,100,0.6845183629259538,1.0,0.5657638116824941,1.0,0.13282715692978414,1.0,0.7286528286528287,0.6081942748609415,0.2699386503067485
1e-09,,200,0.6894770231298578,1.0,0.5726640874903031,1.0,0.12313780575427258,1.0,0.7285375118708453,0.6087155209962228,0.27672955974842767
1e-09,,300,0.6960895110560588,1.0,0.5720140909266253,1.0,0.13882907871577704,1.0,0.7288902455569122,0.6054127483952045,0.275
4.6415888336127725e-07,3.0,100,0.6763872956394869,0.7583889584357499,0.561362867960066,0.621716060804231,0.0,0.0016340539458750906,0.7272690272690273,0.6167912659140729,0.0
4.6415888336127725e-07,3.0,200,0.6789602290605727,0.7614844986118028,0.5618230838177813,0.623969128715991,0.0,0.0005482456140350877,0.7316103649436982,0.6203614449228484,0.0
4.6415888336127725e-07,3.0,300,0.6807774205275843,0.7617543715713517,0.5581596797252384,0.6239475969219647,0.0,0.0,0.7300094966761633,0.6167412834079501,0.0
4.6415888336127725e-07,5.0,100,0.6806872725900347,0.843638417884497,0.5593392610856034,0.7162856820531637,0.019405779741990557,0.09994654520111317,0.7352598019264688,0.620147234182322,0.0
4.6415888336127725e-07,5.0,200,0.6813934245661788,0.8435759924638254,0.5640405117872218,0.7187389043769264,0.027163147396657268,0.0911963125741602,0.7302943969610638,0.6146205970767374,0.015267175572519085
4.6415888336127725e-07,5.0,300,0.6856121862567046,0.8452306677497594,0.562671662846514,0.7182302187378761,0.02326309451458429,0.08920212713669767,0.7339302672636007,0.6182478989496534,0.0
4.6415888336127725e-07,7.0,100,0.6835575406528341,0.9313659170998562,0.5670870632944827,0.8332196080224343,0.047539847358287673,0.3151127704058614,0.7348935015601682,0.6160986511863705,0.07299270072992702
4.6415888336127725e-07,7.0,200,0.6912442047145958,0.9329482022597946,0.5663235655196402,0.8345886728501213,0.05191061139045147,0.3087478082437999,0.7345136345136345,0.6175195824318631,0.07299270072992702
4.6415888336127725e-07,7.0,300,0.687268090198847,0.9338638299126376,0.5644984644266228,0.8378844339828809,0.044073971096761,0.3114501340617802,0.7320851987518654,0.6174767402837578,0.07299270072992702
4.6415888336127725e-07,9.0,100,0.6915316778425922,0.9787166870667324,0.5646633169830867,0.9268715193289844,0.0747743638758949,0.565364179913157,0.7351648351648352,0.6172411084691787,0.09929078014184398
4.6415888336127725e-07,9.0,200,0.6942189106981099,0.9830390071729853,0.5704811400370643,0.9381199660231396,0.05452639020492679,0.5571354704727369,0.7355175688509021,0.6190261979735664,0.1
4.6415888336127725e-07,9.0,300,0.6905861883820059,0.9832329464386367,0.5671748208129882,0.9372632283628965,0.061821354378099574,0.5594452811255707,0.7336453669787002,0.6187905661589872,0.08633093525179858
4.6415888336127725e-07,,100,0.691019978490589,1.0,0.568659077202686,1.0,0.12910861752993513,1.0,0.7331162664495998,0.6108005055373477,0.2625
4.6415888336127725e-07,,200,0.6935206447025893,1.0,0.5650129433295389,1.0,0.11222396022804579,1.0,0.731596798263465,0.6079943448364501,0.28395061728395066
4.6415888336127725e-07,,300,0.6935120046428663,1.0,0.5654817005205028,1.0,0.12291980172725167,1.0,0.7272011938678605,0.6064734485787118,0.2641509433962264
0.00021544346900318823,3.0,100,0.6806852102011656,0.7598865291753852,0.5598645343611622,0.6219302199352352,0.0035714285714285713,0.0016352174448454534,0.7277302943969611,0.6152917907303872,0.0
0.00021544346900318823,3.0,200,0.6767146051098318,0.7620493788880445,0.5591246091243126,0.6235160847778203,0.0,0.0005458515283842794,0.7306471306471307,0.6183121621718113,0.0
0.00021544346900318823,3.0,300,0.6778363884116079,0.7619269062848839,0.560675667068397,0.6256483459673319,0.0,0.0005411255411255411,0.7306878306878308,0.6195974266149705,0.0
0.00021544346900318823,5.0,100,0.6868674531374636,0.8420408330325209,0.5635543802777778,0.7145853771079178,0.011525974025974026,0.09550598233088732,0.7323158323158323,0.619176145491935,0.0
0.00021544346900318823,5.0,200,0.6881259427326744,0.846801164715972,0.5647980241930046,0.7172788496510256,0.015558232090490155,0.0970040750076675,0.7344458011124678,0.6195974266149705,0.0
0.00021544346900318823,5.0,300,0.6880785765934132,0.8427965946900124,0.5630384401077415,0.7172003450431645,0.015558232090490155,0.09405243239426805,0.7308777642110975,0.6172625295432312,0.015267175572519085
0.00021544346900318823,7.0,100,0.6800798802729294,0.9279865158284489,0.5632403813857537,0.8314092428434857,0.04064196951599693,0.30334494452275884,0.7317188983855651,0.6174767402837579,0.05882352941176471
0.00021544346900318823,7.0,200,0.6954586760043864,0.9312339682748845,0.5663516023677769,0.8332115372744553,0.051610130621220704,0.30510762130838076,0.7343101343101343,0.6169269327164064,0.07299270072992702
0.00021544346900318823,7.0,300,0.6943426207671419,0.9311610524805549,0.5637639109946647,0.8357305129301171,0.041072784388569705,0.30153073399814057,0.7338760005426672,0.6181193725053374,0.07299270072992702
0.00021544346900318823,9.0,100,0.6802964228607525,0.9798703382528624,0.5595413619606178,0.9312017694727713,0.0550518431623019,0.5569204858456325,0.7330619997286665,0.6215967268598848,0.08571428571428573
0.00021544346900318823,9.0,200,0.6910320038345173,0.9813861909223822,0.567064334271483,0.9344501735368316,0.07876566018057364,0.5591779506810712,0.7317053317053317,0.6148847903233868,0.08571428571428573
0.00021544346900318823,9.0,300,0.6954978049327949,0.9833678244501282,0.5670646189490591,0.9400695335534495,0.06971984827290638,0.5580307375879663,0.733089133089133,0.616234317988704,0.09929078014184398
0.00021544346900318823,,100,0.6919278727022522,1.0,0.5663244119051969,1.0,0.12045920449693136,1.0,0.728707095373762,0.6102721190440489,0.27672955974842767
0.00021544346900318823,,200,0.6931210503866563,1.0,0.5661736709913555,1.0,0.12713566142783012,1.0,0.731990231990232,0.6127998057822619,0.2857142857142857
0.00021544346900318823,,300,0.692926078345025,1.0,0.5675709772866228,1.0,0.12809845481936805,1.0,0.7303350970017637,0.6070089754300281,0.2857142857142857
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
