ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6751914591147394,0.7565850980420413,0.554115567854108,0.6308198771896915,0.0,0.0011026980236539061,0.7204934043293286,0.6045695809105082,0.0
1e-09,3.0,200,0.6746523048686714,0.758082383345166,0.5546305098395301,0.6331683824687926,0.0,0.001106281328320802,0.7203596179059748,0.6021755080715462,0.0
1e-09,3.0,300,0.6746674030730752,0.7587534093274153,0.5516834014691591,0.6354624484679708,0.0,0.0,0.7198779867819013,0.603499289523678,0.0
1e-09,5.0,100,0.6744312232982809,0.8391000004217996,0.5621155418129159,0.7356674175008471,0.007539682539682539,0.1361131477341774,0.7267813662269553,0.6077804550709983,0.04411764705882353
1e-09,5.0,200,0.683005279353873,0.8399166839534515,0.5628594201046719,0.7353308846516691,0.0035714285714285713,0.13597065257088858,0.7274502983437241,0.6049357332270553,0.029629629629629624
1e-09,5.0,300,0.680327402853929,0.8399249788627172,0.5637777925790145,0.7371322031190458,0.0035714285714285713,0.13983268722743047,0.7267278516576139,0.6040203524356874,0.029629629629629624
1e-09,7.0,100,0.6852274787691102,0.9255586236632394,0.5620547993742284,0.8331950771035972,0.04037341246282011,0.3713051010144549,0.7338319107376984,0.6061468524279419,0.08633093525179857
1e-09,7.0,200,0.6857222513901374,0.9265899430150895,0.5619712554926328,0.8365982665841267,0.02525315290435423,0.38236029335690985,0.7299253471757686,0.6070763160007154,0.07246376811594202
1e-09,7.0,300,0.6866987471192321,0.9295364590946409,0.565057672241078,0.8390804665967854,0.02572902453320427,0.37654192371162887,0.7298852112487625,0.6075832961313191,0.08633093525179857
1e-09,9.0,100,0.6851523324244662,0.9782264021747531,0.5660377581146089,0.9278712552995555,0.07488573620083072,0.6027329925536495,0.7315575415406843,0.6076537100383473,0.1258741258741259
1e-09,9.0,200,0.6827211156237272,0.981111246644412,0.5693225965197137,0.9325312527529873,0.06149332685902857,0.6006768509718886,0.7320124153800872,0.6087944153322058,0.1
1e-09,9.0,300,0.6843327535243358,0.9824135780223278,0.5686413249819671,0.9340900789341335,0.04651824711421197,0.6055371814775914,0.7302062986648115,0.6083578491086303,0.11267605633802817
1e-09,,100,0.6754226989715063,1.0,0.5632741072129994,1.0,0.13088913284339415,0.9998624862486248,0.7198311615337276,0.5953594418712074,0.15789473684210525
1e-09,,200,0.6751357496446813,1.0,0.5672724071551827,1.0,0.11722834033314564,1.0,0.7216907928183447,0.6012882928429897,0.1794871794871795
1e-09,,300,0.6786268284894472,1.0,0.5678522232408221,1.0,0.12699557248155718,1.0,0.7254903272415916,0.6042808838916921,0.18181818181818182
4.6415888336127725e-07,3.0,100,0.6651449376826015,0.7570540550175944,0.5482545083932088,0.6298274874205274,0.0,0.0021954558179865724,0.721924919059214,0.6065834186515173,0.0
4.6415888336127725e-07,3.0,200,0.6732617918037903,0.7582529227645214,0.5514633385579618,0.6345100110680251,0.0,0.0005482456140350877,0.7210686859497498,0.6046822431617535,0.0
4.6415888336127725e-07,3.0,300,0.6733408471645872,0.7595298975642396,0.5569055305050443,0.6362151983895439,0.0,0.0005580357142857143,0.7204131324753164,0.6044991670034798,0.0
4.6415888336127725e-07,5.0,100,0.680962699443706,0.8390466405628025,0.5590908621255061,0.7348092747777785,0.011034115138592752,0.13543376930455558,0.7259251331174912,0.6028092332348008,0.014925373134328356
4.6415888336127725e-07,5.0,200,0.6838250849517737,0.8407025302649004,0.5588444951990305,0.7363095537064971,0.00735930735930736,0.13562472633521108,0.725992026329168,0.6074143027544512,0.029629629629629624
4.6415888336127725e-07,5.0,300,0.6814549092252169,0.8386658120321846,0.5590170963791689,0.7354965324877976,0.0035714285714285713,0.14170525213645002,0.7282396382415113,0.6088366636764228,0.029629629629629624
4.6415888336127725e-07,7.0,100,0.679115251272786,0.9254127804347674,0.5641702655686687,0.8351489839546904,0.029080163929776796,0.3761879426627119,0.7314772696866721,0.6003306637074048,0.07246376811594202
4.6415888336127725e-07,7.0,200,0.6854486468020431,0.9272542002797624,0.5639073883950027,0.8376659322468669,0.03301370193241848,0.388628476080911,0.7274904342707302,0.60771004116397,0.07246376811594202
4.6415888336127725e-07,7.0,300,0.6881016816426528,0.929361227013415,0.5683318373222368,0.8385237900756237,0.02218481654957065,0.38450396787398256,0.7297112888984025,0.6069073226238475,0.07246376811594202
4.6415888336127725e-07,9.0,100,0.6785117230070745,0.9791510297904115,0.5626561193609778,0.928351358903301,0.06291456150394742,0.6027836369218222,0.7275573274824071,0.605977859051074,0.12413793103448274
4.6415888336127725e-07,9.0,200,0.6859703665228523,0.9822348828191402,0.5698943411262465,0.934025979168569,0.0571385220966151,0.6077481325967785,0.7329355417012281,0.6092028159929699,0.11267605633802817
4.6415888336127725e-07,9.0,300,0.6877891979148589,0.981954474119964,0.5679200229832979,0.9327921361579146,0.050110215863088156,0.611079420287127,0.7312632114093063,0.6099069550632528,0.0979020979020979
4.6415888336127725e-07,,100,0.6711750288147644,1.0,0.5719759017956787,1.0,0.14576498748044459,0.9998600223964166,0.7249083563000027,0.6013516653593152,0.15789473684210525
4.6415888336127725e-07,,200,0.6761504273687449,1.0,0.564072138523334,1.0,0.12565212611938115,1.0,0.7238313755920049,0.6044710014406686,0.16774193548387098
4.6415888336127725e-07,,300,0.6784795085566985,1.0,0.5669840580852831,1.0,0.12533740893262785,1.0,0.7238179969496695,0.605069519650409,0.15894039735099338
0.00021544346900318823,3.0,100,0.6765668519062715,0.7562051213626657,0.5518887810074626,0.6302709923866164,0.0,0.0021991892517240815,0.7202258314826212,0.5982323292779617,0.0
0.00021544346900318823,3.0,200,0.6744716833942264,0.7593788089008215,0.5493112798915922,0.6340947162415276,0.0,0.0032884982228418326,0.7195970352928585,0.6013164584058011,0.0
0.00021544346900318823,3.0,300,0.6750417578479908,0.7576427213281739,0.5514091609772653,0.6334566416593237,0.0,0.0010929079234032794,0.7202258314826211,0.6023726670112254,0.0
0.00021544346900318823,5.0,100,0.6827776624841786,0.8398897642792362,0.5652566534406971,0.7332697504276086,0.011525974025974026,0.1299490016383225,0.7254435019934177,0.6064285080560551,0.014925373134328356
0.00021544346900318823,5.0,200,0.6779622199195653,0.8409725321949274,0.5573638583530423,0.7356792180672653,0.015494227994227994,0.13509408508060877,0.7288818130736093,0.6068650742796305,0.014925373134328356
0.00021544346900318823,5.0,300,0.6813321119826334,0.83972613832941,0.5624695293502926,0.7355867521156769,0.0035714285714285713,0.13699309078167812,0.7283332887378589,0.605315968325008,0.029629629629629624
0.00021544346900318823,7.0,100,0.6834171973704644,0.9263172195379813,0.5616245020651582,0.8375406102801398,0.036437485649363596,0.38223241971598704,0.7321060658764348,0.6047385742873761,0.057971014492753624
0.00021544346900318823,7.0,200,0.6839944785873434,0.9267784613714976,0.5681650691525777,0.8365830286459203,0.032178195876210874,0.384993330500522,0.7286142402269018,0.6061609352093476,0.08633093525179857
0.00021544346900318823,7.0,300,0.6844359355462782,0.927638763532514,0.5690859485075024,0.8367215321592877,0.037350461017740436,0.3771824672062718,0.7295775024750488,0.6043865047522345,0.0857142857142857
0.00021544346900318823,9.0,100,0.6819452602100251,0.9778312498825077,0.5682473263855303,0.9270712235132497,0.06734371867790817,0.6056408455390236,0.7319053862414042,0.6080761934805171,0.125
0.00021544346900318823,9.0,200,0.6846851265733445,0.980998387273441,0.566139892826937,0.9309395695351973,0.06304291119338962,0.6004898300620695,0.7291493859203166,0.6093577265884321,0.0851063829787234
0.00021544346900318823,9.0,300,0.6890318081328906,0.981797390296573,0.5674442358232703,0.9332707569047125,0.04233142789528659,0.6051810901491959,0.7298985898910977,0.6071608126891493,0.11267605633802817
0.00021544346900318823,,100,0.6790187279211757,1.0,0.5680294321321105,1.0,0.13695355119481176,1.0,0.7238179969496695,0.5966973061047449,0.15789473684210525
0.00021544346900318823,,200,0.6787149954364607,1.0,0.5695782610610302,1.0,0.13184296878510537,1.0,0.7268148128327937,0.6061538938186448,0.17105263157894735
0.00021544346900318823,,300,0.6748290905271472,1.0,0.5664483755484617,1.0,0.13818231510576012,1.0,0.7271425895700103,0.6038372762774139,0.18064516129032254
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
