ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6407646355294504,0.7231502222699138,0.5409393464827379,0.595245769247591,0.0036764705882352945,0.03983199622891309,0.5726581712497205,0.5204495328043636,0.0
1e-09,3.0,200,0.6471166662942865,0.7247029147251333,0.5406359802115648,0.5962883195083284,0.0037313432835820903,0.037109077220370705,0.5742727972774921,0.5194232320498691,0.0
1e-09,3.0,300,0.6408641359649757,0.7249252089713987,0.5400891296463148,0.5975649023247451,0.0037313432835820903,0.04041680533822887,0.5713292098268624,0.5195082123671202,0.0
1e-09,5.0,100,0.643330406876815,0.8094603183839548,0.5467478881558419,0.6973170829287068,0.014605684170901564,0.1448880617524151,0.5750180092903098,0.5165208273683688,0.0
1e-09,5.0,200,0.6449128663555114,0.8112277245547019,0.5419604113376664,0.7010997860276551,0.018332251784555484,0.1440681638419995,0.5747199244851826,0.515958649885015,0.0
1e-09,5.0,300,0.6446486284296533,0.8113393790103658,0.5434997815545553,0.6983784703631075,0.025583336101238918,0.14019995484798306,0.5748192860868918,0.5160240193598237,0.0
1e-09,7.0,100,0.6410237278832234,0.9114378405518787,0.549072991319892,0.8114150383482376,0.025423489553924337,0.3325912724186234,0.5754030354969322,0.5193186408901753,0.013793103448275864
1e-09,7.0,200,0.6392001519440875,0.918623697872434,0.550669680003257,0.8197071390029682,0.043902424207078225,0.34450705654642644,0.5754030354969322,0.5153768615592189,0.013698630136986302
1e-09,7.0,300,0.6412838146496465,0.9171790719963107,0.5492931271223775,0.8193818736233436,0.029437826266870387,0.34094040925522995,0.5761606677099634,0.5191029216233071,0.013698630136986302
1e-09,9.0,100,0.6380246740585191,0.9824618671384276,0.5472793636758901,0.9390859594550427,0.05411236219759084,0.5272863556084978,0.5798991479742653,0.5172072068538587,0.04026845637583892
1e-09,9.0,200,0.6360959714353125,0.9835462020245622,0.5522705568762888,0.9451857559231633,0.05381008778633935,0.5348133279792798,0.5790297339593115,0.5214562227164155,0.026845637583892617
1e-09,9.0,300,0.6425660244223627,0.9862529597073555,0.5528184037212667,0.949416631327668,0.057488336884049404,0.5305406253039096,0.5780236977420076,0.5185342071924726,0.04026845637583892
1e-09,,100,0.624818417109569,1.0,0.5518860417290333,1.0,0.11154840798148957,1.0,0.5892142981344859,0.5241298342360857,0.06410256410256411
1e-09,,200,0.6285097754896073,1.0,0.5510960685127884,1.0,0.09318972224193735,1.0,0.5839853938445488,0.5246854747719586,0.06369426751592357
1e-09,,300,0.6327301240723868,1.0,0.5482392179256587,1.0,0.10191379860867987,1.0,0.5885994982239113,0.5245678097173032,0.06493506493506494
4.6415888336127725e-07,3.0,100,0.6427264618550028,0.7223853832647068,0.5373286020462538,0.5968623570758795,0.0036231884057971015,0.038222548767866724,0.5738132498695879,0.5196193404742948,0.0
4.6415888336127725e-07,3.0,200,0.6426750955278865,0.7250284077567712,0.5429486738056442,0.596229135028969,0.011139157155399475,0.03606733429157907,0.5737759892689471,0.5193578625750604,0.0
4.6415888336127725e-07,3.0,300,0.6430013310862632,0.7240837510615503,0.5391816322975586,0.5971641521028128,0.0036764705882352945,0.03768037409944459,0.5741982760762103,0.5195997296318522,0.0
4.6415888336127725e-07,5.0,100,0.63772334468257,0.8109404280276978,0.5449529608570105,0.6993539636551604,0.025827798041965402,0.14743402328359845,0.5741485952753558,0.5126901761445868,0.0
4.6415888336127725e-07,5.0,200,0.642515745534225,0.8107113347326094,0.5487424293620143,0.6991155789387069,0.01844518233226864,0.13700463967156173,0.5753036738952232,0.5157625414605894,0.013793103448275864
4.6415888336127725e-07,5.0,300,0.6450203921524907,0.8117364268247065,0.5445231965937167,0.6995459166774862,0.014927035943278264,0.13439251069734798,0.5731922398589065,0.5176124975976718,0.01388888888888889
4.6415888336127725e-07,7.0,100,0.6378962779546113,0.9136434057759693,0.544194970866528,0.8117483508269292,0.03711484593837535,0.3522837884440953,0.5770549221253447,0.5211947448171812,0.013793103448275864
4.6415888336127725e-07,7.0,200,0.6427567123639191,0.9163016052944557,0.5484436897307559,0.819909214243543,0.0329527874988412,0.34026926791641715,0.5736269468663835,0.5145270583867075,0.013698630136986302
4.6415888336127725e-07,7.0,300,0.6440996900477345,0.9194782292831227,0.5536015424839962,0.8215811186531152,0.03269638924410344,0.3391188512273878,0.5733288620612563,0.5177301626523272,0.013793103448275864
4.6415888336127725e-07,9.0,100,0.6405114813050572,0.9817902029290956,0.5460728981900826,0.939003457921851,0.06068524583049231,0.5312206494954296,0.5772039645279081,0.5177105518098847,0.04026845637583892
4.6415888336127725e-07,9.0,200,0.6373984798200438,0.9853082591591639,0.5506631167317414,0.9466829125754659,0.05028687991264814,0.5290430407834461,0.5801351317783243,0.5204822175417678,0.04026845637583892
4.6415888336127725e-07,9.0,300,0.6415126682522554,0.9848726593491606,0.5525342496081014,0.9468848961722776,0.05405296016617309,0.5326431215319727,0.5788061703554662,0.5183184879256043,0.04026845637583892
4.6415888336127725e-07,,100,0.6322538917920295,1.0,0.5460683495895182,1.0,0.09697514780130206,0.999859392575928,0.5847740765581142,0.5237506912821961,0.06410256410256411
4.6415888336127725e-07,,200,0.629488613185287,1.0,0.550683851047324,1.0,0.10429402662483812,1.0,0.5834823757358969,0.5237180065447918,0.06493506493506494
4.6415888336127725e-07,,300,0.6354909270246782,1.0,0.5514082449308786,1.0,0.10987385347511937,1.0,0.5841841170479668,0.5215804247185517,0.0759493670886076
0.00021544346900318823,3.0,100,0.6401724379309995,0.722760494761763,0.541006027457583,0.5980991937384134,0.0037313432835820903,0.037144069107741984,0.5734903246640336,0.5189460348837666,0.0
0.00021544346900318823,3.0,200,0.6424265827696236,0.7235755189709978,0.5377981578878979,0.5968432430190883,0.011085874972961282,0.03934547412110291,0.5713664704275033,0.5191813649930773,0.0
