ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6680531663518176,0.7357776191602009,0.5594443393928372,0.620534081224419,0.00735930735930736,0.027030466956316626,0.7046207497820401,0.5855702901543309,0.016
1e-09,3.0,200,0.6714004434306318,0.7371612400160632,0.5652014616484053,0.6231600348935173,0.0035714285714285713,0.02080686889649485,0.705536181342633,0.5856850058887411,0.016
1e-09,3.0,300,0.6690850763345992,0.7373488004904074,0.5621684685614573,0.6213325653159629,0.00735930735930736,0.020777791756507687,0.702339436210404,0.5841937013414094,0.016
1e-09,5.0,100,0.6734275487158633,0.8104170227600005,0.5618782570694842,0.6968314767131729,0.06818946861747566,0.19976511830246824,0.7046934030805,0.5914590311873843,0.11678832116788322
1e-09,5.0,200,0.6725216429906458,0.8123595832244446,0.5651202287940856,0.6960435281915023,0.05817602350043497,0.1958329892675588,0.7074832897413543,0.5886293764052678,0.11678832116788322
1e-09,5.0,300,0.6705382825707621,0.8114330709370426,0.5633840384938811,0.696517553046877,0.06499243457122758,0.19820611969225221,0.7071781458878235,0.5935239144067667,0.11678832116788322
1e-09,7.0,100,0.6717117990858867,0.9015828515911484,0.5596552018237593,0.7943855285663959,0.08505468502840563,0.3688293080874363,0.7037053182214474,0.5947093103290048,0.14184397163120566
1e-09,7.0,200,0.677308447388692,0.9028681085912386,0.5659988875903472,0.7930830122341604,0.09878915807116337,0.3654530124986526,0.707541412380122,0.5918796555468882,0.14184397163120566
1e-09,7.0,300,0.6720619559530727,0.9032738159060308,0.5679898936420162,0.7937232745286856,0.11020541453202902,0.3622750500225716,0.7046643417611159,0.5894323865461387,0.1285714285714286
1e-09,9.0,100,0.6737330272495398,0.9668030571330073,0.559986550583075,0.8928589924035869,0.11429297516516473,0.5602743822462233,0.7052891601278699,0.586870401810979,0.13888888888888887
1e-09,9.0,200,0.6739663913636589,0.9671782104147827,0.5616485737837592,0.8930444720087003,0.12307165016023648,0.5554322632262364,0.7044463818657366,0.5877881276862601,0.15172413793103448
1e-09,9.0,300,0.6763807435109843,0.9682550036078938,0.5577637436309844,0.8964018928937836,0.13598235379477625,0.5577136242641008,0.7022813135716363,0.5880557977332171,0.13986013986013984
1e-09,,100,0.6668111100359464,1.0,0.556189193777892,1.0,0.16768449995545232,1.0,0.7057178145887824,0.5819471848758776,0.22641509433962267
1e-09,,200,0.6711907153488337,1.0,0.5610357249522477,1.0,0.15955958109811003,1.0,0.7053400174367916,0.5832377368879915,0.2278481012658228
1e-09,,300,0.6678228458464848,1.0,0.5570204174270031,1.0,0.1549842483903785,1.0,0.7041993606509735,0.5810963765123358,0.22929936305732485
4.6415888336127725e-07,3.0,100,0.6692562576883515,0.7372354288044494,0.5654491937206297,0.6200947264462562,0.007302771855010661,0.028070917855536382,0.7012060447544318,0.5853408586855107,0.016
4.6415888336127725e-07,3.0,200,0.6708448901610012,0.7366456689294127,0.558863597161491,0.6205091288616242,0.007302771855010661,0.026560566088661273,0.704954954954955,0.5839642698725891,0.016
4.6415888336127725e-07,3.0,300,0.6698894581487804,0.7387095123782588,0.5636264840104309,0.6221052174430859,0.011040348832024259,0.02079917367860595,0.7041267073525138,0.5866409703421588,0.016
4.6415888336127725e-07,5.0,100,0.6721260011710846,0.8134433389318907,0.5639718904222604,0.695249214320672,0.057063928330380126,0.19138015044511064,0.7051874455100261,0.5926061885314856,0.10294117647058823
4.6415888336127725e-07,5.0,200,0.6728813156161555,0.8106485162036603,0.5653329811788129,0.695591492557509,0.05158619164871754,0.19997064510125745,0.7072507991862831,0.5924149956408021,0.13043478260869565
4.6415888336127725e-07,5.0,300,0.673047565874507,0.8129277247876403,0.5642158541683183,0.6975960695075161,0.060373036983080004,0.19978897996079653,0.7073089218250508,0.5907324982027868,0.11594202898550726
4.6415888336127725e-07,7.0,100,0.6666598739560753,0.9009042142050251,0.563686992697604,0.7896455836770561,0.11095570747262232,0.3666650915857588,0.7071200232490557,0.5882852292020373,0.1267605633802817
4.6415888336127725e-07,7.0,200,0.6724885932118485,0.9024325475945099,0.5605890536759712,0.7915005830992772,0.09943686744314167,0.36210413329962443,0.7074978204010463,0.5922620413282552,0.1408450704225352
4.6415888336127725e-07,7.0,300,0.6717785763145221,0.9037180267752811,0.5619799455087524,0.7963409542594335,0.09907858795936662,0.36110036159351866,0.7056378959604765,0.5939827773444072,0.14184397163120566
4.6415888336127725e-07,9.0,100,0.6700908244487619,0.9630038223614386,0.5650881785354535,0.8899941669064841,0.11751200535620768,0.5464757863239473,0.7040395233943622,0.5880175591550804,0.13986013986013984
4.6415888336127725e-07,9.0,200,0.6747576435094864,0.9682508702549169,0.5625327195153988,0.8962109434560173,0.11491728397006859,0.5620197357002412,0.7063498982853822,0.5901971581088729,0.13888888888888887
4.6415888336127725e-07,9.0,300,0.6749861193373998,0.9686282874086392,0.5625594862024013,0.8955595603123351,0.13200399232849933,0.5564102039900307,0.705231037489102,0.588591137827131,0.13986013986013984
4.6415888336127725e-07,,100,0.6640839318006002,1.0,0.5570927883001315,1.0,0.1616657945377304,0.9997311799984044,0.7039232781168265,0.5825112039033941,0.22929936305732485
4.6415888336127725e-07,,200,0.6717910930259072,1.0,0.5591646100009513,1.0,0.1595289333927727,1.0,0.7005303690787561,0.5795285948087306,0.2165605095541401
4.6415888336127725e-07,,300,0.6707643948028705,1.0,0.558718836630016,1.0,0.16230595112003096,1.0,0.7037053182214472,0.5812493308248826,0.2165605095541401
0.00021544346900318823,3.0,100,0.6690367328904161,0.7358661611486776,0.5598126166339101,0.6222964211595643,0.014715156611309652,0.02868796604874517,0.7038215634989828,0.5846525642790499,0.016
0.00021544346900318823,3.0,200,0.670176223826568,0.7386104600162487,0.5605952439564678,0.6225966140331289,0.0035714285714285713,0.02446852196309228,0.7030950305143854,0.5841172241851359,0.016
0.00021544346900318823,3.0,300,0.669531967918881,0.737613211571665,0.5618822966726593,0.6222041192712977,0.0035714285714285713,0.024474720465079328,0.703763440860215,0.5852643815292372,0.016
0.00021544346900318823,5.0,100,0.6707533299123041,0.8132868344484401,0.5672623724671673,0.6942923285731994,0.05401893679080766,0.20136027212450347,0.7054489973844813,0.5925297113752123,0.13043478260869565
0.00021544346900318823,5.0,200,0.6731649764270082,0.812545851621851,0.563192214031961,0.6958719599349629,0.06234988386591304,0.19872300788560854,0.7062772449869223,0.5921473255938451,0.10294117647058823
0.00021544346900318823,5.0,300,0.6737533512394926,0.81261063719564,0.5645482098244605,0.6972980008160272,0.06497290819254026,0.19789912719569508,0.7065242662016855,0.5897000565930957,0.11678832116788322
0.00021544346900318823,7.0,100,0.6666384778418207,0.9014879190569638,0.5567398038165142,0.7917207419743411,0.10895542872467712,0.36844181438271406,0.7042284219703574,0.5899677266400526,0.14184397163120566
0.00021544346900318823,7.0,200,0.6745588340161643,0.9040534421971136,0.5644291953366503,0.7957067378027027,0.11002645888828368,0.3600414302386087,0.7081081081081082,0.5934091986723565,0.13986013986013984
0.00021544346900318823,7.0,300,0.6752324782600035,0.9040297119060925,0.5659772611249567,0.7944149700028121,0.08669657272789041,0.3595007442774399,0.706684103458297,0.5905030667339666,0.14184397163120566
0.00021544346900318823,9.0,100,0.6658901934620975,0.9652896198091396,0.5631252115325723,0.8942221040215255,0.13100434493660648,0.5562219619283317,0.7064806742226097,0.5878646048425336,0.14184397163120566
0.00021544346900318823,9.0,200,0.6684429798780265,0.9673881122075889,0.5623820790948989,0.8945263902513472,0.14263649271882495,0.5578943848123279,0.7038360941586748,0.587023356123526,0.15384615384615385
0.00021544346900318823,9.0,300,0.672300977545646,0.9666893439039693,0.5620363190505314,0.893286315787164,0.12044880763826399,0.5506513061549237,0.7027753560011626,0.585952675935698,0.13986013986013984
0.00021544346900318823,,100,0.6724456240606658,1.0,0.5596958534421125,1.0,0.16314435754357862,1.0,0.7066695727986051,0.5827023967940776,0.21794871794871795
0.00021544346900318823,,200,0.6644168726398839,1.0,0.5567600735897467,1.0,0.16206781173902168,1.0,0.7021142109851788,0.5793756404961838,0.21794871794871795
0.00021544346900318823,,300,0.6696854569322388,1.0,0.5582265663834325,1.0,0.1701690235028947,1.0,0.7023249055507119,0.5808287064653788,0.22929936305732485
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
