ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.651087309554921,0.758706460801067,0.5379210797706276,0.6219881409933042,0.0,0.0,0.66626005240806,0.548295549119478,0.0
1e-09,3.0,200,0.6548515010199223,0.7657820990077219,0.5448320930394754,0.6266677664414686,0.0,0.0,0.6685641998734977,0.5482777151607672,0.0
1e-09,3.0,300,0.6543035611795602,0.7668258986758073,0.5427300746688857,0.6253101410904136,0.0,0.0,0.6681349959338574,0.5469877254806846,0.0
1e-09,5.0,100,0.6622575097362231,0.851064826370749,0.545857643666609,0.7122540463327716,0.0,0.0016447526966714542,0.6813499593385742,0.5552151250992757,0.0
1e-09,5.0,200,0.6629037086567229,0.853020485514349,0.5455518082468005,0.7128129938467848,0.0,0.0,0.6849643083039667,0.5554469665625164,0.0
1e-09,5.0,300,0.6598123352421481,0.8572731495497411,0.5446645238725831,0.7187984232358999,0.0,0.0011235955056179774,0.6808699286166079,0.553473341798519,0.0
1e-09,7.0,100,0.6619930231319004,0.934149605775308,0.5446631777020016,0.8249986537419081,0.0,0.024552013046029338,0.6927690431011114,0.5614986232183875,0.0
1e-09,7.0,200,0.6683743162741211,0.939512549476266,0.552589661693936,0.8336956649757248,0.0,0.026720928092054126,0.6880252100840336,0.5562257160928887,0.0
1e-09,7.0,300,0.6692819580781112,0.9417727406749931,0.5488731185278819,0.8330403298707373,0.0,0.027288798184672405,0.6876242432456853,0.5561900481754671,0.0
1e-09,9.0,100,0.6636641555975341,0.9828538364822015,0.5515072329393295,0.9339051292753773,0.004310344827586207,0.08798326743144022,0.6902728833468872,0.5529085997726765,0.0
1e-09,9.0,200,0.6640506341565986,0.9851402932828863,0.5536757711179078,0.9421609993421893,0.0,0.08043114848308595,0.6904874853167073,0.5595071644956794,0.0
1e-09,9.0,300,0.6719316956760106,0.9860296787665306,0.5502988868856376,0.9432891926070337,0.004310344827586207,0.08150237454889164,0.6944689165988976,0.557581096954911,0.0
1e-09,,100,0.6526615887444808,1.0,0.5497988928886182,1.0,0.01159022931206381,0.9994446942998015,0.7026181440318063,0.5531196349507544,0.028776978417266192
1e-09,,200,0.6646919172960561,1.0,0.5633069667900154,1.0,0.015259197324414716,1.0,0.7007234345351043,0.5506258530576916,0.028776978417266192
1e-09,,300,0.6587735597112414,1.0,0.5553345369349533,1.0,0.011820008723828514,1.0,0.699113919761453,0.5541034750063013,0.028776978417266192
4.6415888336127725e-07,3.0,100,0.6493091267050342,0.7649420557901425,0.5414952840697442,0.6250473129451817,0.0,0.0,0.6726924640824072,0.5508755284796432,0.0
4.6415888336127725e-07,3.0,200,0.6538132629728846,0.7665332198579673,0.5467823333981996,0.626816588011293,0.0,0.0,0.6736412306858227,0.5505426279170411,0.0
4.6415888336127725e-07,3.0,300,0.6526418851345357,0.7663262201789738,0.546449683627031,0.6259685324246743,0.0,0.0,0.6706763350501491,0.5484144421775501,0.0
4.6415888336127725e-07,5.0,100,0.655358410533543,0.848291054533375,0.5486298546272703,0.7030641797316637,0.0,0.0011235955056179774,0.6726303424595645,0.5540796963946869,0.0
4.6415888336127725e-07,5.0,200,0.6627646906791131,0.8574774536901357,0.5508423765359316,0.7201323831160954,0.0,0.002178649237472767,0.6868674889310563,0.5568677386064782,0.0
4.6415888336127725e-07,5.0,300,0.6643992818478672,0.8569323939158597,0.551637379610403,0.7202643834607387,0.0,0.0016375545851528386,0.6836766964850456,0.5580745031459103,0.0
4.6415888336127725e-07,7.0,100,0.6653201281884243,0.9348053954866206,0.5497050582031504,0.8274429585393606,0.0,0.027817658432134768,0.6876298906659439,0.5573670894503812,0.0
4.6415888336127725e-07,7.0,200,0.6644554851319631,0.9405544582535816,0.5532049189462689,0.8321443488247009,0.0,0.022374779774394137,0.6901938194632693,0.5562732733161176,0.0
4.6415888336127725e-07,7.0,300,0.6670399853405782,0.9418803172611167,0.550693817228293,0.8331599641333569,0.004310344827586207,0.025674934613264172,0.6920857052498418,0.5555242470502633,0.0
4.6415888336127725e-07,9.0,100,0.6674768508485043,0.9824493485962442,0.5517938723642889,0.9347352871757388,0.004310344827586207,0.07834734271287316,0.6954967470859311,0.5530334374836522,0.0
4.6415888336127725e-07,9.0,200,0.676409277729767,0.9855831841410018,0.5564510840141608,0.9419760852660113,0.004310344827586207,0.083989066924559,0.6962760910815939,0.553972692642422,0.0
4.6415888336127725e-07,9.0,300,0.6688186520519537,0.9868836759340809,0.5538899911111954,0.9456575656705197,0.004310344827586207,0.07683418369065934,0.6912837715731454,0.5560235978941661,0.0
4.6415888336127725e-07,,100,0.6549064781020009,1.0,0.5576344739000911,1.0,0.011947938111168297,0.9997215866460802,0.7007629664769134,0.5559819853238409,0.028776978417266192
4.6415888336127725e-07,,200,0.655335481984006,1.0,0.5520806231174604,1.0,0.01174938725490196,1.0,0.6990235610373182,0.5533336424552843,0.028776978417266192
4.6415888336127725e-07,,300,0.6619792230573189,1.0,0.5584635257803987,1.0,0.011820008723828514,1.0,0.6997831390620765,0.5548495289457039,0.028776978417266192
0.00021544346900318823,3.0,100,0.6536004804000242,0.7592431602509518,0.5410312600070608,0.6262492766146561,0.0,0.0,0.6726246950393061,0.5421071654468239,0.0
0.00021544346900318823,3.0,200,0.6542331161793913,0.7641611177017135,0.5436716894637759,0.6238406728009878,0.0,0.0,0.6717945242613175,0.5484560547478754,0.0
0.00021544346900318823,3.0,300,0.6539065538994038,0.7648248753363507,0.5449605595680465,0.6262374450290411,0.0,0.0,0.6692193006234752,0.5476000247297561,0.0
0.00021544346900318823,5.0,100,0.6569925794497041,0.838474902227498,0.5446737115299418,0.7086119126726454,0.0,0.0,0.678339884340833,0.5534673971456154,0.0
0.00021544346900318823,5.0,200,0.6609323962162974,0.8476130340427206,0.5478140945251171,0.7105241394055843,0.0,0.0022224966045190763,0.6781478720520465,0.5549000584953846,0.0
0.00021544346900318823,5.0,300,0.662561820108582,0.849523335952617,0.5489041981797488,0.7133049642262161,0.0,0.0,0.6835355109785849,0.556659675754852,0.0
0.00021544346900318823,7.0,100,0.6595120954466771,0.9206008728896296,0.5497040717641468,0.8080964587273732,0.004310344827586207,0.02830832527033677,0.6886690159934942,0.5601610763150762,0.0
0.00021544346900318823,7.0,200,0.6683119683061949,0.9304199896433729,0.5497690330952716,0.8143791661440005,0.0,0.024552506210445413,0.693638745820909,0.5573730341032848,0.0
0.00021544346900318823,7.0,300,0.6681574390277157,0.9323669060146345,0.5529148752123514,0.8183357206000429,0.0,0.02566420283003376,0.6912329447908194,0.5566121185316232,0.0
0.00021544346900318823,9.0,100,0.6598284675922852,0.9747237384546821,0.5554311682562598,0.9095519855308529,0.004310344827586207,0.07385149587804024,0.6942147826872684,0.5576821560542723,0.0
