ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6629142900993814,0.7320836231378407,0.5627160257362454,0.5975129339742321,0.0,0.0032680520972993682,0.6194040067539817,0.5521554136333395,0.0
1e-09,3.0,200,0.6649795501474318,0.7361769480934199,0.5622241149670405,0.5983766688354502,0.0,0.0027173913043478264,0.622187742435997,0.5523355518353681,0.0
1e-09,3.0,300,0.6638843575641737,0.7384557207598959,0.5617537377346697,0.5983201067734139,0.0,0.0016375545851528386,0.6227524756993565,0.5517651141956109,0.0
1e-09,5.0,100,0.6710780969124022,0.8073311341114786,0.5640190302842154,0.6612281446727037,0.0,0.04730526118650718,0.6290501072422763,0.5543741158216584,0.014598540145985401
1e-09,5.0,200,0.6710197738001249,0.8113235705161277,0.56576889064345,0.6633952869394564,0.0,0.051452165045826434,0.6292554647925889,0.5550676478994685,0.014598540145985401
1e-09,5.0,300,0.6711508752246347,0.8137437520075368,0.5659919626293768,0.6622057592826003,0.0,0.05099016426920744,0.6286450965180487,0.5545842770573584,0.014598540145985401
1e-09,7.0,100,0.6718911181578813,0.8930731259900448,0.5635592344320796,0.7595285177807318,0.0,0.12670900433729504,0.6253764888422397,0.5541609522825912,0.014492753623188406
1e-09,7.0,200,0.6784511340460702,0.900700151367995,0.57056219894483,0.7668761151011678,0.0,0.12233383972483533,0.6275384474969197,0.5540708831815769,0.014492753623188406
1e-09,7.0,300,0.673138063225571,0.8989047435771262,0.5687406337256106,0.7636128036313264,0.0,0.1241935272489777,0.6303107744261396,0.5555089864944386,0.014492753623188406
1e-09,9.0,100,0.6816945808366586,0.9650496247628797,0.5689181887207919,0.8835947480882063,0.003378378378378378,0.2418093248237763,0.6289987678546981,0.549840637737272,0.014492753623188406
1e-09,9.0,200,0.6806795372576574,0.9676041054830423,0.5659892197887275,0.8858055473222972,0.0,0.2388257543627527,0.6291584903938301,0.5531011391939896,0.014492753623188406
1e-09,9.0,300,0.6830229952657716,0.9677072218202748,0.5672451065662969,0.8860631501500278,0.0,0.23836624035017573,0.6310751608634144,0.5539688048670941,0.014492753623188406
1e-09,,100,0.6754572625625931,1.0,0.567014386486828,1.0,0.029546008613917707,0.9995834266656711,0.6183258796148404,0.5516780473979637,0.028776978417266192
1e-09,,200,0.682458752115622,1.0,0.5677264684202961,1.0,0.02162636214360352,1.0,0.6232630173869392,0.5537678006566638,0.028776978417266192
1e-09,,300,0.6767510486433275,1.0,0.5659147410615349,1.0,0.02213643178410795,1.0,0.623186008305572,0.5514468700386936,0.028776978417266192
4.6415888336127725e-07,3.0,100,0.6679432663162538,0.7343586722562504,0.5609631847060447,0.5982801400171124,0.0,0.0033022447430907445,0.6208671792999589,0.5523055288016967,0.0
4.6415888336127725e-07,3.0,200,0.6630397980486622,0.737903030147961,0.5623254122844086,0.5975702938320406,0.0,0.0027173913043478264,0.6275099256149317,0.5509845153201536,0.0
4.6415888336127725e-07,3.0,300,0.6625498847524417,0.7390848715633508,0.5631331218296167,0.5985483036098673,0.0,0.002178649237472767,0.6218055492173595,0.5514348608252251,0.0
4.6415888336127725e-07,5.0,100,0.6706339370555395,0.8111757557391726,0.5645256791854221,0.6619070524352372,0.0,0.05255951735990439,0.6301282343814174,0.553926772619954,0.014598540145985401
4.6415888336127725e-07,5.0,200,0.6682219757667343,0.8129506383856926,0.567961006724697,0.6620217880269668,0.0,0.05414408536437519,0.6270820973851138,0.5531461737444968,0.014598540145985401
