ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6299924020451775,0.7174069366949375,0.5312728355740257,0.5932499350536979,0.0,0.015466627533602496,0.6374441491691731,0.5291085231403422,0.0
1e-09,3.0,200,0.6317571352138822,0.7176096745360031,0.5336893597206395,0.594495506721563,0.0,0.011741404891218298,0.6418538095377158,0.5293698135769584,0.0
1e-09,3.0,300,0.6328928424074207,0.7185041466639621,0.5313122689954113,0.5947924389739947,0.0,0.009082801915423997,0.6387290833162982,0.5286781624212094,0.0
1e-09,5.0,100,0.6328815596576083,0.8144792852798386,0.537478413595954,0.6844221525513527,0.00746268656716418,0.11978803803810809,0.6382180299623281,0.5363785452885492,0.016260162601626018
1e-09,5.0,200,0.634563836931477,0.8166948242826768,0.5332252414455687,0.6861157698190765,0.011034115138592752,0.11191508089790597,0.637911397949946,0.5368089060076819,0.016260162601626018
1e-09,5.0,300,0.6346285865001031,0.8180018024131143,0.5354006549605868,0.6865465261227718,0.0037878787878787884,0.11188331897523514,0.6400432205122215,0.5359481845694164,0.016260162601626018
1e-09,7.0,100,0.636810235599531,0.9225957777162126,0.5395006397648272,0.8137179797878319,0.021798570174338394,0.3095954478950319,0.6351663113629064,0.5416197240465589,0.016000000000000004
1e-09,7.0,200,0.6368021026629294,0.9268814206752881,0.5358682485419726,0.8208869355293227,0.01844359181936004,0.30291076406475825,0.6362468241684431,0.5418810144831752,0.016129032258064516
1e-09,7.0,300,0.6358311517998924,0.9260092469207553,0.5377411512630073,0.819875754900745,0.017960662525879918,0.2972213219221903,0.6347866717285285,0.5435717173083396,0.016260162601626018
1e-09,9.0,100,0.6283114817466746,0.9834978764133604,0.5330327014240157,0.9410209597268475,0.03528434144147878,0.49294590490511325,0.627310691236165,0.5470453431127683,0.015873015873015872
1e-09,9.0,200,0.635826628404208,0.9864715287334506,0.5364263212248819,0.9513037735917802,0.03611548518162113,0.4870745031428378,0.6342464153257601,0.5448627994657379,0.015748031496062992
1e-09,9.0,300,0.6331070107949538,0.9881783784269486,0.5375357999165339,0.9544549838609706,0.03593267589263013,0.49595101962497845,0.6346260549601378,0.5474295937548512,0.015873015873015872
1e-09,,100,0.6229111496590818,1.0,0.5313172101077399,1.0,0.07100294370221907,1.0,0.6250693572408959,0.5470146030614017,0.07462686567164178
1e-09,,200,0.6328301684153657,1.0,0.5381862580250648,1.0,0.08081269236673513,1.0,0.6247189206553164,0.5512721001756794,0.07518796992481203
1e-09,,300,0.6272341109937204,1.0,0.5348839661388701,1.0,0.09152544980226826,1.0,0.6197325000730076,0.5526630875000192,0.06060606060606061
4.6415888336127725e-07,3.0,100,0.6269165989969849,0.7176753961323163,0.5304507038508939,0.5939633614618429,0.0,0.010147682765804128,0.6390941214262769,0.5296003639622082,0.0
4.6415888336127725e-07,3.0,200,0.6316376106227085,0.7188015437546023,0.5314121117520749,0.5933236954175813,0.0,0.011200569474429536,0.6391963320970708,0.5280633613938769,0.0
4.6415888336127725e-07,3.0,300,0.6332422263888158,0.719061755834987,0.5318595825329381,0.5955989539560516,0.0037878787878787884,0.00961587502350942,0.6407148906345823,0.5293698135769584,0.0
4.6415888336127725e-07,5.0,100,0.6351397951351563,0.8176587087730139,0.5384964327638819,0.6847996863778212,0.0,0.12180022094413157,0.6375463598399674,0.5363939153142325,0.016260162601626018
4.6415888336127725e-07,5.0,200,0.6382870309682322,0.8179048981112337,0.5359604353118852,0.6840235863561207,0.0037313432835820903,0.11603880365531137,0.6366702683760186,0.534795432643168,0.016260162601626018
4.6415888336127725e-07,5.0,300,0.6350487210673678,0.8181964304310538,0.5357639068819761,0.686682484976588,0.00735930735930736,0.1133633655470393,0.6399556113658266,0.5375774072918476,0.016260162601626018
4.6415888336127725e-07,7.0,100,0.6336400886690241,0.9217623989400283,0.5368597180064165,0.8113602778831457,0.021855105678635092,0.3072650951356156,0.6333411208130129,0.5418041643547586,0.016129032258064516
4.6415888336127725e-07,7.0,200,0.6340568443971941,0.9258674129710593,0.5406128346008809,0.8181588148926845,0.014709063378758384,0.29665734795220705,0.6362906287416407,0.5459233312378865,0.016129032258064516
4.6415888336127725e-07,7.0,300,0.6405816768314245,0.9287574097787938,0.5367098191252964,0.8205189513659257,0.021793934965290467,0.2991797961282596,0.6369184942908039,0.5445861390034383,0.016000000000000004
4.6415888336127725e-07,9.0,100,0.6347442381211658,0.9828117664791785,0.5338703886113134,0.9407590527400738,0.052169401860076875,0.49010429805397393,0.6323336156294717,0.5426187757159743,0.016000000000000004
4.6415888336127725e-07,9.0,200,0.6328815550258915,0.9861528354948566,0.5347505797415544,0.9490453454598622,0.0260866535668994,0.49206559106514647,0.6313115089215315,0.5520098614084784,0.015748031496062992
4.6415888336127725e-07,9.0,300,0.6357625868550767,0.987232675860906,0.5369294585428311,0.9522744887037208,0.0356456793409713,0.4895292008426193,0.6285810238588909,0.5489358562718158,0.015873015873015872
4.6415888336127725e-07,,100,0.6211872223327064,1.0,0.5340024758339605,1.0,0.07682804936102554,0.9998636859323882,0.6228061209590281,0.5525939223844443,0.06015037593984963
4.6415888336127725e-07,,200,0.6288453311274285,1.0,0.53849592473054,1.0,0.08727531986197132,1.0,0.621813217299886,0.5513566353169377,0.04580152671755726
4.6415888336127725e-07,,300,0.6322042706537055,1.0,0.5422294509460803,1.0,0.0865024347552662,1.0,0.6291212802616594,0.5550531264937744,0.06106870229007634
0.00021544346900318823,3.0,100,0.629486358466943,0.7160961555193907,0.5328534947976442,0.5927618815023803,0.0037878787878787884,0.013280974299079214,0.6336331513009958,0.5280326213425103,0.0
0.00021544346900318823,3.0,200,0.6303812557055336,0.7176224149401809,0.5319695346744411,0.5939363022583068,0.0037878787878787884,0.011716615587782551,0.6400870250854189,0.529000932960559,0.0
0.00021544346900318823,3.0,300,0.6293771927939036,0.7175738194001545,0.5334342289659733,0.5942198539997754,0.0,0.01118916016200947,0.6405980784393891,0.5304918254518404,0.0
0.00021544346900318823,5.0,100,0.6333150468612975,0.8165738093851158,0.5291211681821645,0.6844761756513789,0.00741106719367589,0.11563777945518917,0.6402330403294104,0.5348415427202179,0.016260162601626018
0.00021544346900318823,5.0,200,0.6328924258682351,0.819568127404675,0.5373719457016168,0.6868535978744917,0.01114241047725798,0.11334180696484661,0.638115819291534,0.5369933463158817,0.016260162601626018
0.00021544346900318823,5.0,300,0.6360735486843372,0.8188634461219133,0.5362329757149777,0.6851742641981593,0.00735930735930736,0.11764920367845308,0.640685687585784,0.5361172548519328,0.016260162601626018
0.00021544346900318823,7.0,100,0.6357061271942261,0.9233130277996832,0.5357313066909599,0.8142022859227809,0.014547558153696263,0.29504046582655946,0.6384808574015128,0.5423882253307245,0.016129032258064516
0.00021544346900318823,7.0,200,0.6337597841975064,0.9228415085170084,0.5421010155918142,0.814769501750095,0.02184880766063726,0.3040828988686096,0.63424641532576,0.5446168790548049,0.016260162601626018
0.00021544346900318823,7.0,300,0.6389639437480298,0.92639308225966,0.5397986796819569,0.8193072014602247,0.025529913457920484,0.29727370651900564,0.6351079052653097,0.542511185536191,0.016129032258064516
0.00021544346900318823,9.0,100,0.6278181250550225,0.9835345541092393,0.5380114249431613,0.9433335069097208,0.038587738094439515,0.49324044734920564,0.6296615366644278,0.5412354734044761,0.03076923076923077
0.00021544346900318823,9.0,200,0.6361022479035102,0.9859456809445393,0.5399586706358711,0.947600591744667,0.02529638910430685,0.4960550545354661,0.6305376281283768,0.5477369942685174,0.016000000000000004
0.00021544346900318823,9.0,300,0.6357539409647955,0.9875251195701487,0.5371618392059304,0.9532406790844781,0.0321745059579896,0.49583182620137367,0.6326694506906522,0.5492432567854821,0.015873015873015872
0.00021544346900318823,,100,0.6264988921136144,1.0,0.5345736250704025,1.0,0.08693558017638768,1.0,0.6301798907805976,0.5490357614387573,0.06060606060606061
0.00021544346900318823,,200,0.6271776027095568,1.0,0.5362174920469904,1.0,0.07750752330183291,1.0,0.6220687439768713,0.553070393180627,0.06060606060606061
0.00021544346900318823,,300,0.6283293734627904,1.0,0.5346124714197609,1.0,0.08465669691967458,1.0,0.628099173553719,0.5537159342593262,0.07462686567164178
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
