ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.654921929834875,0.7466478398500489,0.5384285353282694,0.5981289009151234,0.0,0.02547000616426352,0.6078002215073046,0.5170002692507335,0.0
1e-09,3.0,200,0.6568883494211804,0.7488235384978845,0.5362878962213318,0.5974381932175025,0.0,0.017328824051191835,0.6096988555455936,0.5185408275712751,0.0
1e-09,3.0,300,0.6551181211782369,0.7498726134659817,0.5394835693779947,0.5967464779555005,0.0,0.021212538864786273,0.6099889246347766,0.517388878556816,0.0
1e-09,5.0,100,0.6639076448163573,0.839565303224693,0.542338742521371,0.6992436017951991,0.0035714285714285718,0.08163823178769854,0.6183350034280892,0.5260631934247305,0.0
1e-09,5.0,200,0.6655784191516303,0.8436014823940258,0.5437787101590768,0.702875410807368,0.0037313432835820903,0.08623413174216146,0.615974895838827,0.526784896421741,0.0
1e-09,5.0,300,0.6658127204731529,0.8433112173748418,0.5424001067297584,0.7021455336170004,0.0037313432835820903,0.08510768252193379,0.6169769526923685,0.523079229110168,0.0
1e-09,7.0,100,0.6626863220836385,0.9338661332697291,0.5480603088871216,0.8380244618641077,0.014953730104931432,0.26766561598687977,0.6214730235747059,0.5332802233948354,0.029411764705882353
1e-09,7.0,200,0.6704248418382314,0.9371365380170986,0.5455871167264688,0.8429433933781472,0.014652600170502985,0.2595819419845412,0.6243209746321396,0.5345154458320264,0.0
1e-09,7.0,300,0.6692598967967812,0.9385343781195616,0.5471430526076791,0.8431474768251451,0.014765458422174842,0.2607420933467197,0.6269447813933864,0.5338908951615365,0.029411764705882353
1e-09,9.0,100,0.6703274505205385,0.9863251648497882,0.5538112805931024,0.9482215230739133,0.03194567265338791,0.4711793034892054,0.6318759559094984,0.5428289092014357,0.029411764705882353
1e-09,9.0,200,0.669566757576421,0.9877877060745042,0.5464430492561365,0.9529413042304437,0.03225565956123213,0.46834880223988146,0.6393913823110595,0.5425790889332397,0.014814814814814815
1e-09,9.0,300,0.6801810164009026,0.9891698373232586,0.5553468356452693,0.9579436797436193,0.029346426369346635,0.46289163044135667,0.6359105532408629,0.5438698269855854,0.029197080291970802
1e-09,,100,0.6747963418759535,1.0,0.5545860789479328,1.0,0.055093372876665755,1.0,0.6390881282632772,0.5529466300633711,0.11188811188811189
1e-09,,200,0.680539801085251,1.0,0.5557168173994267,1.0,0.06264607233469534,1.0,0.647243025156901,0.5543969755092863,0.11111111111111112
1e-09,,300,0.6762397477944414,1.0,0.5541803391378388,1.0,0.06635230032748504,1.0,0.6450543220294288,0.5531895108796727,0.11188811188811189
4.6415888336127725e-07,3.0,100,0.6546127229860204,0.7458766208501172,0.5387493987443224,0.5969177413088171,0.0,0.01733628689866142,0.6115183798322873,0.5166255388484396,0.0
4.6415888336127725e-07,3.0,200,0.655345815990417,0.7491335935662709,0.5405808109255452,0.5983574505707103,0.0,0.01955165507565059,0.6107800221507305,0.5181938549765586,0.0
4.6415888336127725e-07,3.0,300,0.6558054018291972,0.7488152662601942,0.5394178091811624,0.5969092603796893,0.0,0.0179599032681302,0.6095801909182005,0.5185269486674865,0.0
4.6415888336127725e-07,5.0,100,0.6629600160102377,0.8392014641600039,0.5443558268557553,0.70083259631294,0.007898009950248757,0.09173910555207512,0.6128764305680081,0.5242589359322043,0.0
4.6415888336127725e-07,5.0,200,0.6641903601775139,0.8417294859652273,0.541875355522302,0.7002897944759616,0.007354531689379192,0.08865978143423028,0.6151969832814725,0.5216219442123583,0.0
4.6415888336127725e-07,5.0,300,0.6630973935255267,0.8450395105042152,0.5431569884672174,0.7037036157104406,0.007519222071460879,0.08420227137706401,0.6147223247719003,0.522829408841972,0.0
4.6415888336127725e-07,7.0,100,0.6712247820954069,0.9333820401475641,0.546870005308139,0.8358817982550539,0.018738460260807763,0.26321129278131594,0.6252702916512842,0.5307542629052987,0.029411764705882353
4.6415888336127725e-07,7.0,200,0.6679118839830748,0.9366144259848191,0.545734229455303,0.8419115910907802,0.007247899159663866,0.267836959943504,0.6254680660302727,0.5335300436630314,0.029411764705882353
4.6415888336127725e-07,7.0,300,0.6686914384955074,0.9396544723182534,0.5485601128011742,0.8447812177437282,0.014420871115244517,0.26233509856193615,0.6237012815779758,0.530823657424242,0.014814814814814815
4.6415888336127725e-07,9.0,100,0.666747735473423,0.985892411915622,0.5486497614098953,0.9485873444473585,0.03949579831932773,0.4638902329411776,0.6346316122567375,0.5476587677198904,0.029197080291970802
4.6415888336127725e-07,9.0,200,0.6748892642205728,0.9874255375239105,0.5516856847331442,0.9535232441717112,0.028972258566474986,0.45849846223917756,0.632482464005063,0.5426762412597603,0.029411764705882353
4.6415888336127725e-07,9.0,300,0.6744547062673536,0.9886877883767148,0.5563278942018943,0.9566283071022266,0.024772785318723487,0.4677969031351656,0.6350139760561152,0.5407748314407135,0.029197080291970802
4.6415888336127725e-07,,100,0.674519975257742,1.0,0.5493010700982676,1.0,0.08331030827765737,1.0,0.6468804387954222,0.553404633888397,0.07142857142857142
4.6415888336127725e-07,,200,0.6810160753571641,1.0,0.5576925469490399,1.0,0.05967069437150142,1.0,0.6471177680502083,0.5553684987744928,0.11188811188811189
4.6415888336127725e-07,,300,0.6743954617631884,1.0,0.5531593126652965,1.0,0.08633545591751646,1.0,0.6399912979273246,0.5554725905529078,0.11034482758620691
0.00021544346900318823,3.0,100,0.659341534324436,0.7476146005574978,0.5389592379465542,0.6001825098620401,0.0,0.017436392288571446,0.6098768524866832,0.5174860308833367,0.0
0.00021544346900318823,3.0,200,0.6566597338619569,0.7496402141863632,0.5403524671790566,0.5966104158393984,0.0,0.01572394240063095,0.6120853330520543,0.5185408275712751,0.0
0.00021544346900318823,3.0,300,0.6596445678635647,0.7499440399994819,0.5397443949235197,0.5980731308765829,0.0,0.016890591270833775,0.6084330995200675,0.5167643278863262,0.0
0.00021544346900318823,5.0,100,0.6624126181167325,0.8383982930797074,0.5396543482510647,0.6976632780816616,0.0036764705882352945,0.08859386008189844,0.6146563999789041,0.5264795605383904,0.0
0.00021544346900318823,5.0,200,0.6641754992506665,0.8427885740661336,0.5465308758269367,0.7037719487627215,0.0,0.0846177950076638,0.6151574284056749,0.5265073183459678,0.0
0.00021544346900318823,5.0,300,0.665058060222007,0.845410524830328,0.5441893087761175,0.702547386390589,0.0037313432835820903,0.08608711548177031,0.6173065766573492,0.5240091156640084,0.0
0.00021544346900318823,7.0,100,0.6635137417141828,0.9333274063831611,0.5468362305235119,0.8368822489966041,0.025453086900937498,0.257210561961653,0.6277622488265389,0.5339047740653252,0.014814814814814815
0.00021544346900318823,7.0,200,0.6688698359458274,0.9365504719207962,0.5484870212929482,0.841574596114155,0.014765458422174842,0.25871035249011537,0.6233584726543958,0.5311428722113812,0.029411764705882353
0.00021544346900318823,7.0,300,0.669490531072104,0.9389128879630312,0.5465584355725067,0.8459642159102612,0.014652600170502985,0.25809842232637525,0.6259031696640472,0.5341407154297325,0.014814814814814815
0.00021544346900318823,9.0,100,0.6736311824613999,0.9866619366904346,0.5520441593051211,0.952057857964302,0.029498800999229087,0.4630365847058292,0.6309530088075523,0.5375271679541663,0.014705882352941176
0.00021544346900318823,9.0,200,0.6699478671602035,0.987656595471933,0.5512397437881679,0.954328727339624,0.035336787306896,0.4679350636396238,0.635633669110279,0.5418573859362292,0.029197080291970802
0.00021544346900318823,9.0,300,0.6768614648699178,0.9882756046474517,0.5530762160374867,0.9556374080553696,0.03641253269042171,0.4664250355300047,0.6312826327725332,0.5409413782861775,0.029411764705882353
0.00021544346900318823,,100,0.672335286764238,1.0,0.5515287287225016,1.0,0.10002315604060988,1.0,0.6409208375085702,0.5523775950080358,0.10958904109589042
0.00021544346900318823,,200,0.6857163142291071,1.0,0.555138962485255,1.0,0.0556816361861787,1.0,0.6491614366330889,0.5539320322323662,0.11111111111111112
0.00021544346900318823,,300,0.678340913483415,1.0,0.5484003526860617,1.0,0.0758424251344082,1.0,0.6441115974895839,0.5565690239522122,0.11188811188811189
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
