ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6761518376595066,0.7507884882547484,0.5518218417072658,0.6144666760208499,0.0,0.00958662030497722,0.6853663522471746,0.5690398498655891,0.0
1e-09,3.0,200,0.6738628962024811,0.7532752958793707,0.5531143342875429,0.6132956985977351,0.0035714285714285713,0.011731304602627057,0.6893452676459422,0.5720984849765685,0.0
1e-09,3.0,300,0.6775026833764517,0.7538223380438721,0.5537600810679343,0.6139870796295599,0.0,0.00586469782643171,0.688169844931811,0.569869831252488,0.0
1e-09,5.0,100,0.6846823339326179,0.8366695350347769,0.5548121797911661,0.720808371824923,0.01874907748477568,0.1413063962776969,0.6959524574365563,0.5951381534758544,0.048387096774193554
1e-09,5.0,200,0.6827088636697519,0.8390985326557585,0.5547024586408851,0.7256230740521296,0.022474187074926266,0.131141958436474,0.6965949245101188,0.5994110206158154,0.032520325203252036
1e-09,5.0,300,0.6830162839667374,0.8408465307478687,0.5516108491307062,0.7247909803954304,0.022474187074926266,0.13767242041684796,0.6948573431066203,0.596244795325053,0.032520325203252036
1e-09,7.0,100,0.6800658215805531,0.9262534103669893,0.5542728606951866,0.8416979799217257,0.054197296056604075,0.3558034616344682,0.6985223257308063,0.6045292391683587,0.09448818897637795
1e-09,7.0,200,0.6800021297550846,0.929191333341199,0.5526996192291156,0.8464246777806362,0.04358916277262217,0.36648352055450406,0.69879975469439,0.6030998267798106,0.06349206349206349
1e-09,7.0,300,0.682649032351528,0.9307702424163498,0.553826063934572,0.845794014980836,0.053829261428574,0.3650833016738316,0.6972081885348831,0.6031459368568605,0.06400000000000002
1e-09,9.0,100,0.6779429659245979,0.9821939141879864,0.5584594143851621,0.9412500963956577,0.07348051480330228,0.5862302720496814,0.6993546126215577,0.5958451746572868,0.10852713178294573
1e-09,9.0,200,0.6862738513691646,0.9837653075697161,0.557945287120206,0.9456694405981491,0.061842978147869085,0.588876035372067,0.6967847443273077,0.6019009647765121,0.10852713178294573
1e-09,9.0,300,0.6861149709489315,0.9842571156543796,0.5560427076240544,0.946370579794325,0.08054794732848128,0.5993577184559362,0.6955582162777795,0.6042064686290091,0.12307692307692308
1e-09,,100,0.6749337996910921,1.0,0.5595195220272768,1.0,0.11259306288869915,1.0,0.6998364629267295,0.597966238201584,0.14925373134328357
1e-09,,200,0.6810538720683628,1.0,0.5583117528648067,1.0,0.12955894503362858,1.0,0.6924626931051601,0.5996185159625402,0.10606060606060605
1e-09,,300,0.684775767760853,1.0,0.5647316646491927,1.0,0.11662822180404225,1.0,0.6970913763396899,0.5989268648067911,0.16296296296296295
4.6415888336127725e-07,3.0,100,0.6760460023904156,0.7522089234386997,0.5526985236737301,0.6130180575248534,0.0035714285714285713,0.009091857610057277,0.6889145226761675,0.5676411775284077,0.0
4.6415888336127725e-07,3.0,200,0.6739721853833756,0.7528386755945383,0.5533499817091776,0.6148498934925627,0.0035714285714285713,0.011750388731285928,0.6874981748094501,0.5702233418432042,0.0
4.6415888336127725e-07,3.0,300,0.6778052263362464,0.7538198052207606,0.5567947216206353,0.6140401596943759,0.0,0.009603340368915383,0.6876441900534415,0.5684096788125733,0.0
4.6415888336127725e-07,5.0,100,0.6837664820782606,0.8389653269845205,0.5582926966757239,0.7210852607440646,0.014666252072968494,0.14134720443588591,0.699471424816751,0.5991804702305658,0.048387096774193554
4.6415888336127725e-07,5.0,200,0.6799472432955753,0.8388192529323384,0.549350936012063,0.7232347012919683,0.0188654485688887,0.13579608170053092,0.6949887568262126,0.5958759147086534,0.032520325203252036
4.6415888336127725e-07,5.0,300,0.6815620488514165,0.8401210621587931,0.5567786807910726,0.724432022627905,0.022364441684232676,0.13595739548716063,0.6960838711561488,0.5991036201021492,0.032520325203252036
4.6415888336127725e-07,7.0,100,0.6813896196998285,0.9278213705183507,0.5499745658728835,0.8420236827021524,0.06830178012057106,0.368161706144169,0.6992816049995619,0.5999336014890481,0.06400000000000002
4.6415888336127725e-07,7.0,200,0.6883337815970044,0.9319806643255543,0.5529576318127911,0.8462862865533196,0.05107061255907659,0.36405879811466807,0.6960838711561488,0.6056358810175572,0.09448818897637795
4.6415888336127725e-07,7.0,300,0.6835041763708843,0.9313462487508839,0.5559186113980173,0.8484908087061828,0.04731858568230346,0.3563706757040658,0.697003767193295,0.6039298081667095,0.06400000000000002
