ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6550421684265104,0.7212945724146006,0.5363496357057307,0.5755594783993083,0.0,0.0,0.7016165755919853,0.5658973252804141,0.0
1e-09,3.0,200,0.6546358732959222,0.7221996738493451,0.5376448830579211,0.5759389128215394,0.0,0.0,0.7047472677595629,0.5709303997699167,0.0
1e-09,3.0,300,0.6556655147270206,0.7227096043860067,0.5414372089332239,0.5763074005542927,0.0,0.0,0.7014458105646629,0.5623621896270732,0.0
1e-09,5.0,100,0.6581711523957027,0.7924693540072819,0.5407647705950438,0.6400628518229339,0.0,0.0,0.7090163934426229,0.5448662640207075,0.0
1e-09,5.0,200,0.656667250459948,0.7953551502727404,0.5368799849034871,0.6428435946232122,0.0,0.0008307372793354101,0.7069672131147542,0.55277538107564,0.0
1e-09,5.0,300,0.6589093983193502,0.7961111281094232,0.5401076088523192,0.6440849772117486,0.0,0.0,0.7089594717668487,0.553314639056658,0.0
1e-09,7.0,100,0.6566072629066971,0.8757264459019836,0.5393760645374379,0.7415512815433033,0.0,0.027467311619363045,0.7169285063752276,0.5480418943533698,0.0
1e-09,7.0,200,0.6622142663769996,0.8777849217091569,0.5425346495253333,0.7452679679808609,0.0,0.024182316876510384,0.7190915300546448,0.5398331895312051,0.0
1e-09,7.0,300,0.6595010656673613,0.8787508660556073,0.5354211843027844,0.7480544275252229,0.0,0.02339010946261666,0.7137408925318761,0.5451059342344934,0.0
1e-09,9.0,100,0.6576630015749172,0.9422721202135956,0.5374024762333812,0.8594521147898468,0.0031298904538341163,0.17094096034736678,0.7226775956284152,0.5455253571086185,0.0
1e-09,9.0,200,0.6539585484375641,0.945411498288483,0.5361218607164859,0.8655843070625606,0.0031746031746031746,0.1706774156990175,0.7188638433515482,0.5439075831655642,0.0
1e-09,9.0,300,0.6558633035118788,0.946472051791981,0.5422339173147671,0.8691384225292467,0.0030864197530864196,0.1719973382245752,0.7185223132969035,0.5385749209088294,0.0
1e-09,,100,0.6337487595781568,0.9999578942143447,0.5371290309613961,0.999778390601814,0.10084460238994704,0.9908750509728299,0.7058287795992715,0.5469034608378871,0.030769230769230767
1e-09,,200,0.6420288878362919,0.9999594748309928,0.539771993717369,0.9997867096368042,0.08454732743747694,0.9908699102786797,0.706170309653916,0.5490904515386827,0.03125
1e-09,,300,0.6441481541177587,0.9999596617931142,0.5413680811993016,0.9997876936479696,0.1057198123812086,0.9908575337624119,0.7079064207650273,0.5400129421915445,0.030769230769230767
4.6415888336127725e-07,3.0,100,0.651996772353278,0.7200498971143043,0.5398543549678477,0.5748282782298404,0.0,0.0,0.7041780510018215,0.5709303997699167,0.0
4.6415888336127725e-07,3.0,200,0.6537177259824015,0.7230023127084348,0.5384294049478253,0.5765649841936205,0.0,0.0,0.7033811475409837,0.5691328731665228,0.0
4.6415888336127725e-07,3.0,300,0.6539469914015525,0.7221666658664788,0.5396916372374628,0.5763111931137401,0.0,0.0,0.7046334244080146,0.5674551816700221,0.0
4.6415888336127725e-07,5.0,100,0.6534968917977905,0.7929635566307317,0.5371799930225541,0.639954257884142,0.0,0.0,0.7133993624772313,0.5553518358738376,0.0
4.6415888336127725e-07,5.0,200,0.6605901741120499,0.7951324173785008,0.5372591252462704,0.6419730751828843,0.0,0.0,0.7106671220400728,0.5563105167289809,0.0
4.6415888336127725e-07,5.0,300,0.6565791183943926,0.7950164202643162,0.5400438460898466,0.6451255969985554,0.0,0.0,0.7110086520947176,0.5571493624772313,0.0
4.6415888336127725e-07,7.0,100,0.6520381998055247,0.8752449501659343,0.538388886660645,0.7435697620120794,0.0,0.029098550735965692,0.7097563752276868,0.5451658517879399,0.0
4.6415888336127725e-07,7.0,200,0.6575566885963063,0.8774253481990331,0.5362845377697447,0.7456129662452553,0.0,0.024996974967105935,0.7126024590163935,0.5451059342344934,0.0
4.6415888336127725e-07,7.0,300,0.6572311741805856,0.8786167488572408,0.536626669727611,0.7482403816838098,0.0,0.02212040653633306,0.7164731329690346,0.5468435432844406,0.0
4.6415888336127725e-07,9.0,100,0.6560801963663416,0.9441553459987957,0.5344870865185112,0.8588672377591275,0.0,0.1755908579471359,0.7159608378870674,0.5521762055411753,0.0
4.6415888336127725e-07,9.0,200,0.6533556784733467,0.9463599219269931,0.5365607172336313,0.8668107591136474,0.0031746031746031746,0.17158372860517257,0.7161885245901639,0.540612117726009,0.0
4.6415888336127725e-07,9.0,300,0.6566321646020891,0.9466368836244556,0.538704096491319,0.8684645317287398,0.0030864197530864196,0.16316582155762444,0.7203438069216758,0.5483414821206021,0.0
4.6415888336127725e-07,,100,0.6372682474920519,0.9999567666297727,0.5391518709678429,0.999772455946172,0.10458355287154131,0.9908722974762417,0.709471766848816,0.5561307640686416,0.061538461538461535
4.6415888336127725e-07,,200,0.6399485524312858,0.9999596617931142,0.5392066086378078,0.9997876936479696,0.09046672607142166,0.9908634008581753,0.7087033242258652,0.5448662640207075,0.030769230769230767
4.6415888336127725e-07,,300,0.64274409485393,0.9999596617931142,0.5368807982424605,0.9997876936479696,0.09564442772988278,0.9908484444534373,0.7051172586520946,0.5463402358354904,0.03125
0.00021544346900318823,3.0,100,0.653329039721862,0.7208238924271366,0.5369022050094627,0.576143624441012,0.0,0.0,0.702755009107468,0.568893202952737,0.0
0.00021544346900318823,3.0,200,0.6565832640298436,0.7219029618118864,0.538913456597134,0.5778500727037174,0.0,0.0,0.7029826958105646,0.5682940274182724,0.0
0.00021544346900318823,3.0,300,0.6569759787000409,0.7231434587562523,0.539417566010006,0.577906549847457,0.0,0.0,0.7063410746812386,0.5664965008148787,0.0
0.00021544346900318823,5.0,100,0.6537449133596605,0.7917573223922484,0.5378585851547159,0.6417838697502515,0.0,0.0,0.7114640255009108,0.5472030486051194,0.0
0.00021544346900318823,5.0,200,0.6596873833344731,0.7939370684208831,0.5344792694806952,0.6403079056322092,0.0,0.0,0.7094148451730419,0.551337359792925,0.0
0.00021544346900318823,5.0,300,0.6560950807540993,0.7946764410983898,0.5382197474334723,0.6426989789113106,0.0,0.0,0.7087887067395263,0.5488807401016201,0.0
0.00021544346900318823,7.0,100,0.6536379293571056,0.8715325569142006,0.5359551050724647,0.7360830418894483,0.0,0.02699003617538948,0.7097563752276866,0.5524757933084077,0.0
0.00021544346900318823,7.0,200,0.6589541927434728,0.8744490675234808,0.5362747363616375,0.7415325444605562,0.0,0.024168665157140456,0.7122609289617486,0.5437877480586712,0.0
0.00021544346900318823,7.0,300,0.6557776099285446,0.8773422603002988,0.5377343235723862,0.7480558598596724,0.0,0.021737314567204902,0.7161885245901639,0.54127121081392,0.0
0.00021544346900318823,9.0,100,0.654169439755913,0.9395656339067671,0.5372927930559717,0.8519044160029633,0.0,0.17144116261846712,0.7266621129326047,0.5433084076310997,0.0
0.00021544346900318823,9.0,200,0.6606422487262572,0.9420428034460172,0.5421541609241526,0.8583359793974843,0.0031746031746031746,0.16312598005733941,0.7221083788706739,0.5494199980826383,0.0
0.00021544346900318823,9.0,300,0.6558174512405838,0.9433994558885347,0.5392866546889973,0.862148845220637,0.0031746031746031746,0.1590253661454337,0.7168715846994536,0.5425294794362957,0.0
0.00021544346900318823,,100,0.639189360028971,0.9999422824676036,0.5367214139229087,0.9996962235137032,0.08923103201517875,0.9879399205458088,0.7075364298724954,0.5386947560157224,0.03125
0.00021544346900318823,,200,0.6392418957203451,0.9999538541962641,0.5400571662194561,0.9997571273487593,0.08997059530373074,0.989443422148758,0.7039503642987249,0.5403125299587768,0.03125
0.00021544346900318823,,300,0.6461374146312611,0.9999541453986479,0.5384197678712874,0.9997586599928832,0.08275544259799221,0.9892307003296913,0.7054872495446266,0.5467836257309941,0.030769230769230767
0.1,3.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,3.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,5.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,7.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,9.0,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,100,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,200,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
0.1,,300,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
