ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6808904621975638,0.7445627003245165,0.5619503204454472,0.6002164363356073,0.0,0.0,0.6968365309970057,0.5696433053355358,0.0
1e-09,3.0,200,0.6825818573765887,0.7473802742168867,0.5617734187504355,0.599928162962123,0.0,0.0,0.6954918487301762,0.5700956672484139,0.0
1e-09,3.0,300,0.6836656160447966,0.7482015481126973,0.5589631058121501,0.6009914015995144,0.0,0.0,0.6967810801818787,0.5709566141148591,0.0
1e-09,5.0,100,0.6912423413698447,0.8163456610054636,0.5552769337094194,0.6694721901034923,0.0,0.008091487623482625,0.7024370633248309,0.5699497440507113,0.0
1e-09,5.0,200,0.6860872053009519,0.8180089642511149,0.5569970412116781,0.6662561672598581,0.0,0.005967973950222569,0.7038926472219141,0.5700081133297923,0.0
1e-09,5.0,300,0.6877227463102487,0.8170003383633904,0.5557415881968777,0.6668912811843406,0.0,0.0016281026106353617,0.7040451369635132,0.5718467456208448,0.0
1e-09,7.0,100,0.6872217400449843,0.8917092146715249,0.5521929903292696,0.7664931137040121,0.01488095238095238,0.1361483821920495,0.7095486303648664,0.5693076819808198,0.0
1e-09,7.0,200,0.68882115685497,0.8935922061452942,0.5559185097782724,0.7666186104617405,0.007738095238095238,0.12510501561964754,0.7099783741821004,0.5722991075337229,0.0
1e-09,7.0,300,0.6880835877510096,0.8945771854995876,0.5535326363513742,0.7693315719940469,0.007194616977225673,0.13020320404415867,0.7099090606631919,0.5710587603532509,0.0
1e-09,9.0,100,0.682738074465751,0.9537733123912738,0.554210601621594,0.8773227826417639,0.03292625355777386,0.3652773923888175,0.7127231895308861,0.5714235683475073,0.04580152671755725
1e-09,9.0,200,0.6917415627501624,0.9566883237895338,0.5558242026930527,0.8829212971364787,0.029915419064432063,0.36243560781680983,0.7127509149384497,0.5693076819808198,0.04580152671755725
1e-09,9.0,300,0.6932900234367033,0.9568010463255079,0.5513263043082001,0.8832240574149148,0.029530399710371198,0.3613242224747351,0.7120855051569258,0.5686656199109285,0.04580152671755725
1e-09,,100,0.6789758890523439,1.0,0.5512290921669545,1.0,0.08485117409649606,0.99986602357985,0.7030678163469004,0.5674705089217443,0.1285714285714286
1e-09,,200,0.6812137622471699,1.0,0.55353364960651,1.0,0.11072012102585789,1.0,0.7076840967062216,0.5694025320593266,0.08759124087591241
1e-09,,300,0.6847252385972165,1.0,0.556188291242161,1.0,0.10876989212058336,1.0,0.7023053676389043,0.5657982290760727,0.1285714285714286
