ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6412965807173379,0.7105138800105402,0.5303540526054775,0.5822287282456424,0.0,0.00924900997123167,0.639231796381077,0.5601987309673792,0.0
1e-09,3.0,200,0.6428069940895846,0.7143953157630119,0.5319002450625647,0.5852303053239892,0.0,0.008717491814335877,0.6394634292565947,0.5619915550812938,0.0
1e-09,3.0,300,0.6411246956085581,0.7122994645951022,0.5352215734408075,0.5835141120399197,0.0,0.008735063226675346,0.6386186505341181,0.5610306013562356,0.0
1e-09,5.0,100,0.6447898857929708,0.8066881312869908,0.5353178723691865,0.6868812239197208,0.0037878787878787884,0.06866482348922355,0.638128133856551,0.5691341663511296,0.0
1e-09,5.0,200,0.644472401988085,0.8078134677245952,0.5349129932093519,0.687201681536818,0.0,0.06666493655081962,0.6345037606278614,0.5670114626002547,0.0
1e-09,5.0,300,0.6443466875291288,0.8087004369605575,0.5327026372753285,0.6882622352095327,0.0037878787878787884,0.06719628285424538,0.6367792129932418,0.5709269904650442,0.0
1e-09,7.0,100,0.6477027666096224,0.9189799642076568,0.535017197618133,0.8225053150036228,0.01109065064288945,0.23722904850088553,0.6333047198604752,0.5680871570686035,0.0
1e-09,7.0,200,0.6464574253956388,0.9222754862611322,0.5327960285381252,0.8299174007649274,0.01125056535504297,0.22155783835926368,0.6386595269239153,0.5733652312599681,0.014814814814814815
1e-09,7.0,300,0.6508322707888679,0.9223551793789796,0.5356206777416365,0.8315054880779984,0.007462686567164181,0.214091274957943,0.6382371375626771,0.5706401386068178,0.01492537313432836
1e-09,9.0,100,0.643533059986736,0.9829362470772767,0.5344608006474845,0.9450783867617883,0.03650140783114024,0.4783060871212381,0.6409486047525615,0.5725190182782004,0.014814814814814815
1e-09,9.0,200,0.6460677577680236,0.9865423788181392,0.5368375421191942,0.9533136546636622,0.018388719124013242,0.46977068706671526,0.6386322759973839,0.5734799720032586,0.014814814814814815
1e-09,9.0,300,0.6475103564371945,0.9868541924046195,0.5367696893620884,0.9554178199085664,0.036449856622490895,0.47148024277669237,0.6413301177240027,0.5733365460741455,0.014814814814814815
1e-09,,100,0.6467233997541806,0.9999359365792174,0.5328643991593474,0.9996628241011445,0.07236202060204443,0.9914389644072731,0.6448931763679965,0.5651038977430496,0.09655172413793105
1e-09,,200,0.6520645041833008,0.9999493143434817,0.536364085901463,0.999733233386745,0.07674134696467887,0.9914294948836515,0.6435442555046872,0.5688903422716373,0.10958904109589043
1e-09,,300,0.6502623212421647,0.9999520713662213,0.5369927901324831,0.9997477440327437,0.07407987966427168,0.9914337061826579,0.6437486374536733,0.5686034904134109,0.09790209790209792
4.6415888336127725e-07,3.0,100,0.6434700764733892,0.7117086378261785,0.5317959904210403,0.5825865118857491,0.0,0.010856432036055783,0.638618650534118,0.5612887680286393,0.0
4.6415888336127725e-07,3.0,200,0.6415341423996186,0.712403017054521,0.5327778090550943,0.585229867512993,0.0,0.008190406121766743,0.639340800087203,0.5615612772939543,0.0
4.6415888336127725e-07,3.0,300,0.64136915609347,0.7121248768065134,0.5344058192269683,0.5837567149573479,0.0,0.010327039159687336,0.6383325158055374,0.5616329902585109,0.0
4.6415888336127725e-07,5.0,100,0.6439556961940324,0.8069805384182972,0.5319502153257911,0.6863352916271159,0.0,0.06919959521640587,0.6390819162851537,0.5653764070083646,0.0
4.6415888336127725e-07,5.0,200,0.6468944676784191,0.8096435718700322,0.5363301285161015,0.6883057501278116,0.0,0.06053919059335744,0.6382507630259429,0.5686608607850562,0.0
4.6415888336127725e-07,5.0,300,0.6465787634030697,0.80658605671925,0.5339331702088943,0.6867511654479688,0.0037878787878787884,0.06671555750390704,0.6371743514279485,0.567699907059998,0.01492537313432836
4.6415888336127725e-07,7.0,100,0.6438660098945956,0.9180792253762156,0.5307665545477946,0.8242571339554099,0.011034115138592752,0.22658129489718082,0.6414254959668629,0.5742401294275584,0.014814814814814815
4.6415888336127725e-07,7.0,200,0.6486920941465364,0.9209963537848845,0.5351296722954529,0.82991267042582,0.01125056535504297,0.21976886140373722,0.6407442228035752,0.5755739905683109,0.014814814814814815
4.6415888336127725e-07,7.0,300,0.6524238019779955,0.9234533302016328,0.5354471444766257,0.8326927350775599,0.018388719124013242,0.2204182715260669,0.6400356987137563,0.5739819627551548,0.014814814814814815
4.6415888336127725e-07,9.0,100,0.6493761020929968,0.9830589288320102,0.5339369260571245,0.9451385168637242,0.04029856087738751,0.46988805201674555,0.6403899607586658,0.5720887404908609,0.014814814814814815
4.6415888336127725e-07,9.0,200,0.6469265508698518,0.9860770038467741,0.5327384766666463,0.9521808066701504,0.018496801705756932,0.47435688300089085,0.6328142031829083,0.575172397966794,0.014814814814814815
4.6415888336127725e-07,9.0,300,0.6451932164992673,0.9870533721806356,0.5348921386867638,0.9550497566481901,0.021969023927979156,0.47743337443485645,0.6395315565729234,0.5761046665060297,0.014814814814814815
4.6415888336127725e-07,,100,0.6526317507727525,0.9999448114928737,0.5337645739597048,0.9997095341730193,0.07916814785932552,0.9914370140935315,0.6430673642903859,0.5682090691083497,0.09790209790209792
4.6415888336127725e-07,,200,0.6553092404939843,0.9999465549630959,0.5390732883020016,0.9997187103320839,0.08580297703322287,0.9914468387863122,0.6399539459341617,0.568201897811894,0.10958904109589043
4.6415888336127725e-07,,300,0.6493410866919211,0.9999475300240857,0.5401792631024049,0.99972384223203,0.06962906215116288,0.9914315619841907,0.6389865380422936,0.5667676385207624,0.13605442176870747
0.00021544346900318823,3.0,100,0.6391781167478968,0.7116279314469269,0.5317143360859578,0.585201547299035,0.0,0.010878603118132404,0.6361796926095487,0.5593381753927001,0.0
0.00021544346900318823,3.0,200,0.6430123812593596,0.7121584173866621,0.5355958496491333,0.5842060464623137,0.0,0.008727999664590765,0.6377329954218444,0.5617047032230674,0.0
0.00021544346900318823,3.0,300,0.6391882757755133,0.7114804793529463,0.5332433285898108,0.5834549130624382,0.0,0.010343200030523756,0.6388639088729017,0.5611309995066148,0.0
0.00021544346900318823,5.0,100,0.6416513901217183,0.8019561337575594,0.5314085548285734,0.6798756217444817,0.0037878787878787884,0.06772524955833961,0.6356346740789186,0.5711134441728913,0.0
0.00021544346900318823,5.0,200,0.6464018794728328,0.8074072984453571,0.5341019785181749,0.6881275117072145,0.0,0.06410644760311995,0.6377874972749074,0.569062453386573,0.0
