ccp_alpha,max_depth,n_estimators,score_avg_valid_auc,score_avg_train_auc,score_avg_valid_auc_01,score_avg_train_auc_01,score_avg_valid_f1score,score_avg_train_f1score,score_test_auc,score_test_auc_01,score_test_f1
1e-09,3.0,100,0.6913863738757242,0.7736980406433476,0.5621544306533841,0.6268840499352251,0.0,0.0,0.6742087435164603,0.5574897071194977,0.0
1e-09,3.0,200,0.6947148616091698,0.7746533875438499,0.5648231616503518,0.6274310150578777,0.0,0.0,0.6719990473166084,0.5582418255865131,0.0
1e-09,3.0,300,0.692823137770818,0.7752253100045451,0.5602364171613979,0.628482032235122,0.0,0.0,0.6679236794749656,0.556988294808154,0.0
1e-09,5.0,100,0.7002766065809369,0.850493181951198,0.5619120857483565,0.7145860630469603,0.004166666666666667,0.03937300294171636,0.6774108182491796,0.5572529290835855,0.0
1e-09,5.0,200,0.6964109684424329,0.8533124577017426,0.5610181099962611,0.716784621632343,0.004098360655737705,0.032997480079472064,0.6762199640097386,0.5600942655145326,0.0
1e-09,5.0,300,0.6997929491697698,0.8543560708040385,0.5584406177801895,0.7186067978716553,0.004166666666666667,0.03195649082038643,0.6787604530538796,0.5595371407241508,0.0
1e-09,7.0,100,0.6957180802124543,0.9261452639215773,0.5566711680138623,0.8273653993025417,0.026511796956260315,0.20252059887267465,0.6841060654175929,0.5631863081011516,0.0
1e-09,7.0,200,0.7036142793296856,0.9294525028551595,0.5621073378912715,0.833938359265713,0.022938269889872326,0.19005695778024348,0.6840134434211917,0.5616820711671208,0.0
1e-09,7.0,300,0.6994099683290602,0.9300095057629965,0.5575449011128756,0.8390039446351373,0.019211702276218406,0.18289965494161137,0.6818831375039696,0.5566679480536846,0.0
1e-09,9.0,100,0.7009823805800774,0.9768781141310939,0.5574698831742604,0.9269963651289654,0.05185317369611535,0.4566405345662379,0.687744786704774,0.5665012006039233,0.014705882352941176
